old_precinct_id,new_district_id,fragment_population,precinct_total,weight
3630001,25,1193,1193,1.0
3630002,25,55,55,1.0
3630003,25,1243,1243,1.0
3630004,12,304,1498,0.20293724966622162
3630004,25,1194,1498,0.7970627503337784
3630005,25,692,692,1.0
3630006,25,1460,1460,1.0
3630007,25,1100,1100,1.0
3630008,12,79,2920,0.027054794520547945
3630008,25,2841,2920,0.9729452054794521
3630009,25,433,433,1.0
3630011,12,220,1762,0.12485811577752554
3630011,25,1542,1762,0.8751418842224744
3630012,12,101,1474,0.06852103120759837
3630012,25,1373,1474,0.9314789687924017
3630013,25,2085,2085,1.0
3630014,12,220,1547,0.14221073044602456
3630014,25,1327,1547,0.8577892695539754
3630015,12,224,1654,0.1354292623941959
3630015,25,1430,1654,0.8645707376058042
3630016,25,821,821,1.0
3630017,25,3241,3241,1.0
3630018,25,366,366,1.0
3630020,25,258,258,1.0
3630021,12,69,2793,0.024704618689581095
3630021,25,2724,2793,0.9752953813104189
3630022,12,394,2403,0.16396171452351227
3630022,25,2009,2403,0.8360382854764877
3630023,12,64,3420,0.01871345029239766
3630023,25,3356,3420,0.9812865497076023
3630024,25,712,712,1.0
3630025,25,498,498,1.0
3630026,25,664,664,1.0
3630027,25,3746,3746,1.0
3630028,25,2201,2201,1.0
3630029,12,60,3371,0.017798872738059923
3630029,25,3311,3371,0.9822011272619401
3630030,25,2295,2295,1.0
