old_precinct_id,new_district_id,fragment_population,precinct_total,weight
3650001,1,4951,4951,1.0
3650002,1,4600,4600,1.0
3650003,1,2463,2463,1.0
3650005,1,1195,1195,1.0
3650007,1,1393,1393,1.0
3650008,1,556,556,1.0
3650009,1,1127,1127,1.0
3650010,1,866,866,1.0
3650012,1,770,770,1.0
3650013,1,732,732,1.0
3650014,1,1073,1073,1.0
3650018,1,3322,3322,1.0
3650019,1,690,690,1.0
3650020,1,1771,1771,1.0
3650022,1,708,708,1.0
3650026,1,361,361,1.0
3650027,1,3464,3464,1.0
3650028,1,4940,4940,1.0
3650029,1,648,648,1.0
