year,new_district_id,candidate,party,estimated_votes
2016,12,Bradshaw,DEMOCRAT,5472.248588869014
2016,12,Colliver,LIBERTARIAN,1589.4749562260213
2016,12,Granger,REPUBLICAN,36251.678586520204
2016,25,Bradshaw,DEMOCRAT,1374.2715632002798
2016,25,Colliver,LIBERTARIAN,455.84262063740357
2016,25,Granger,REPUBLICAN,10705.508256960047
2016,26,Bradshaw,DEMOCRAT,77.47984793070418
2016,26,Colliver,LIBERTARIAN,21.68242313657472
2016,26,Granger,REPUBLICAN,606.8131565197517
2018,12,ADIA,DEMOCRAT,6237.27466619588
2018,12,GRANGER,REPUBLICAN,34530.62305494692
2018,12,LEDDY,LIBERTARIAN,681.3231683732405
2018,25,ADIA,DEMOCRAT,1696.652216677695
2018,25,GRANGER,REPUBLICAN,10350.928396748155
2018,25,LEDDY,LIBERTARIAN,191.76087056511457
2018,26,ADIA,DEMOCRAT,81.07311712642539
2018,26,GRANGER,REPUBLICAN,586.4485483049154
2018,26,LEDDY,LIBERTARIAN,10.915961061645138
2020,12,GRANGER,REPUBLICAN,46016.13656977163
2020,12,HOLCOMB,LIBERTARIAN,2002.5902607478447
2020,12,WELCH,DEMOCRAT,7940.019330149174
2020,25,GRANGER,REPUBLICAN,15084.78119057729
2020,25,HOLCOMB,LIBERTARIAN,638.0884689424246
2020,25,WELCH,DEMOCRAT,2462.1387351495973
2020,26,GRANGER,REPUBLICAN,884.0822396510648
2020,26,HOLCOMB,LIBERTARIAN,30.32127030973071
2020,26,WELCH,DEMOCRAT,116.8419347012282
2022,12,GRANGER,REPUBLICAN,36472.7836025337
2022,12,HUNT,DEMOCRAT,6095.290646811214
2022,12,WILLIAMS,REPUBLICAN,3112.451448124281
2022,25,GRANGER,REPUBLICAN,3573.3943971074987
2022,25,HUNT,DEMOCRAT,614.7926567535503
2022,25,WILLIAMS,REPUBLICAN,10444.548551875721
2022,26,GRANGER,REPUBLICAN,805.8220003588051
2022,26,HUNT,DEMOCRAT,102.91669643523737
2024,12,GOLDMAN,REPUBLICAN,50995.66229277208
2024,12,HAGG,OTHER,7.887981131723441
2024,12,HUNT,DEMOCRAT,9171.117969355946
2024,12,WILLIAMS,REPUBLICAN,4564.054334371047
2024,25,GOLDMAN,REPUBLICAN,4769.068473816086
2024,25,HAGG,OTHER,30.11201886827656
2024,25,HUNT,DEMOCRAT,882.0169711578437
2024,25,WILLIAMS,REPUBLICAN,15467.945665628953
2024,26,GOLDMAN,REPUBLICAN,1226.2692334118328
2024,26,HUNT,DEMOCRAT,176.86505948620865
