old_precinct_id,new_district_id,fragment_population,precinct_total,weight
3670100,12,8564,8564,1.0
3670105,12,5930,5930,1.0
3670110,12,4020,4020,1.0
3670111,12,2778,2778,1.0
3670115,12,5422,6443,0.8415334471519479
3670115,26,1021,6443,0.15846655284805214
3670120,12,6234,6253,0.99696145849992
3670120,26,19,6253,0.0030385415000799615
3670125,12,5981,7210,0.8295423023578363
3670125,26,1229,7210,0.17045769764216367
3670130,12,9204,9204,1.0
3670135,12,6386,6386,1.0
3670140,12,3991,5057,0.7892030848329049
3670140,26,1066,5057,0.21079691516709512
3670200,12,4136,4136,1.0
3670205,12,4048,4048,1.0
3670210,12,4932,5587,0.882763558260247
3670210,25,34,5587,0.006085555754429927
3670210,26,621,5587,0.11115088598532308
3670215,12,6657,6657,1.0
3670220,12,1934,2219,0.871563767462821
3670220,25,262,2219,0.11807120324470483
3670220,26,23,2219,0.010365029292474088
3670225,12,2498,2673,0.9345304900860456
3670225,25,175,2673,0.06546950991395435
3670230,12,5875,5875,1.0
3670235,12,2057,2057,1.0
3670240,12,4516,4516,1.0
3670245,12,3193,3193,1.0
3670250,12,4214,4214,1.0
3670255,12,7718,7718,1.0
3670260,12,7717,8516,0.906176608736496
3670260,25,799,8516,0.09382339126350399
3670265,12,3386,3624,0.9343267108167771
3670265,25,238,3624,0.06567328918322296
3670300,12,3681,3681,1.0
3670305,12,7358,9794,0.7512762916071064
3670305,25,2436,9794,0.24872370839289362
3670310,12,4930,4930,1.0
3670315,12,9611,10321,0.9312082162581146
3670315,25,710,10321,0.06879178374188548
3670320,12,3807,5089,0.7480841029671841
3670320,25,1282,5089,0.25191589703281586
3670325,12,2502,8059,0.3104603548827398
3670325,25,5557,8059,0.6895396451172602
3670330,12,706,5968,0.11829758713136729
3670330,25,5262,5968,0.8817024128686327
3670335,12,1234,8186,0.15074517468849255
3670335,25,6952,8186,0.8492548253115074
3670340,12,27,1365,0.01978021978021978
3670340,25,1338,1365,0.9802197802197802
3670345,12,1403,7362,0.19057321380059766
3670345,25,5959,7362,0.8094267861994023
3670350,12,5023,5458,0.9203004763649688
3670350,25,435,5458,0.07969952363503115
3670400,12,7482,9941,0.7526405794185695
3670400,25,2459,9941,0.24735942058143043
3670410,12,524,4489,0.1167297839162397
3670410,25,3965,4489,0.8832702160837603
3670415,12,1037,5987,0.17320861867379322
3670415,25,4950,5987,0.8267913813262068
3670420,12,1779,5501,0.3233957462279586
3670420,25,3722,5501,0.6766042537720415
3670430,12,5627,9414,0.5977267898874017
3670430,25,3787,9414,0.40227321011259826
3670435,12,6997,16605,0.4213791026799157
3670435,25,9608,16605,0.5786208973200843
3670440,12,8468,13089,0.6469554587821835
3670440,25,4621,13089,0.3530445412178165
3670445,12,5590,7267,0.7692307692307693
3670445,25,1677,7267,0.23076923076923078
3670450,12,4424,5660,0.781625441696113
3670450,25,1236,5660,0.2183745583038869
3670455,12,2227,7400,0.3009459459459459
3670455,25,5173,7400,0.6990540540540541
