year,new_district_id,candidate,party,estimated_votes
2016,13,Arrington,REPUBLICAN,8.079661581074715
2016,13,Bonar,LIBERTARIAN,0.41084418569885284
2016,13,Lawson,OTHER,0.07139291063404893
2016,19,Arrington,REPUBLICAN,1989.9203384189254
2016,19,Bonar,LIBERTARIAN,161.58915581430114
2016,19,Lawson,OTHER,75.92860708936595
2018,13,ARRINGTON,REPUBLICAN,7.283934268089391
2018,13,LEVARIO,DEMOCRAT,0.33100349475786317
2018,19,ARRINGTON,REPUBLICAN,1668.7160657319105
2018,19,LEVARIO,DEMOCRAT,350.66899650524215
2020,13,ARRINGTON,REPUBLICAN,8.529808070287192
2020,13,BURNES,LIBERTARIAN,0.05611985779583545
2020,13,WATSON,DEMOCRAT,0.4423565261554088
2020,19,ARRINGTON,REPUBLICAN,2131.470191929713
2020,19,BURNES,LIBERTARIAN,44.943880142204165
2020,19,WATSON,DEMOCRAT,432.55764347384456
2022,13,ARRINGTON,REPUBLICAN,3.9443560865936638
2022,13,LEWIS,OTHER,0.22566075337319086
2022,19,ARRINGTON,REPUBLICAN,1578.0556439134064
2022,19,LEWIS,OTHER,151.77433924662682
2024,13,ARRINGTON,REPUBLICAN,4.92038215141714
2024,13,JOHNSON,LIBERTARIAN,0.2908361771196232
2024,13,LEWIS,OTHER,0.17369000204930812
2024,19,ARRINGTON,REPUBLICAN,2108.0796178485825
2024,19,JOHNSON,LIBERTARIAN,148.70916382288038
2024,19,LEWIS,OTHER,103.82630999795069
