year,new_district_id,candidate,party,estimated_votes
2016,23,Corvalan,LIBERTARIAN,135.0
2016,23,Gallego,DEMOCRAT,1759.0
2016,23,Hurd,REPUBLICAN,2274.0
2018,23,CORVALAN,LIBERTARIAN,52.0
2018,23,HURD,REPUBLICAN,2144.0
2018,23,ORTIZ JONES,DEMOCRAT,1311.0
2020,23,GONZALES,REPUBLICAN,2936.0
2020,23,ORTIZ JONES,DEMOCRAT,1542.0
2020,23,VILLELA,LIBERTARIAN,143.0
2022,23,GONZALES,REPUBLICAN,2574.0
2022,23,LIRA,DEMOCRAT,824.0
2022,23,LOPEZ,OTHER,202.0
2024,23,GONZALES,REPUBLICAN,3075.0
2024,23,LIMON,DEMOCRAT,943.0
