year,new_district_id,candidate,party,estimated_votes
2016,9,Babin,REPUBLICAN,91.10364344849881
2016,9,Ridley,OTHER,6.1489978018959235
2016,10,Babin,REPUBLICAN,15209.943324754035
2016,10,Ridley,OTHER,1578.591960658077
2016,36,Babin,REPUBLICAN,95.9530317974663
2016,36,Ridley,OTHER,7.25904154002724
2018,9,BABIN,REPUBLICAN,80.83404861672787
2018,9,STEELE,DEMOCRAT,12.429459005585128
2018,10,BABIN,REPUBLICAN,12773.306157381812
2018,10,STEELE,DEMOCRAT,3732.67792502319
2018,36,BABIN,REPUBLICAN,84.85979400146229
2018,36,STEELE,DEMOCRAT,22.892615971224878
2020,9,ABBEY,LIBERTARIAN,1.4033717941496908
2020,9,BABIN,REPUBLICAN,120.40805841567334
2020,9,LEWIS,DEMOCRAT,14.076884215319863
2020,9,RIDLEY,OTHER,0.3762370634279933
2020,10,ABBEY,LIBERTARIAN,296.17309074019795
2020,10,BABIN,REPUBLICAN,18362.23008594274
2020,10,LEWIS,DEMOCRAT,4431.709690103198
2020,10,RIDLEY,OTHER,99.18035686139254
2020,36,ABBEY,LIBERTARIAN,1.4235374656523663
2020,36,BABIN,REPUBLICAN,116.36185564158646
2020,36,LEWIS,DEMOCRAT,26.21342568148212
2020,36,RIDLEY,OTHER,0.4434060751794575
2022,9,ERIKSEN,LIBERTARIAN,1.4863241509916476
2022,9,JONES,DEMOCRAT,11.231811708916812
2022,9,LUTTRELL,REPUBLICAN,84.17362834120499
2022,10,ERIKSEN,LIBERTARIAN,181.28242735856975
2022,10,JONES,DEMOCRAT,3073.525631634395
2022,10,LUTTRELL,REPUBLICAN,13227.1563592669
2022,36,ERIKSEN,LIBERTARIAN,1.2312484904386052
2022,36,JONES,DEMOCRAT,19.242556656688176
2022,36,LUTTRELL,REPUBLICAN,88.67001239189501
2024,9,JONES,DEMOCRAT,16.25871696575338
2024,9,LUTTRELL,REPUBLICAN,122.47725680388984
2024,10,JONES,DEMOCRAT,4517.324867969172
2024,10,LUTTRELL,REPUBLICAN,19012.3960516294
2024,36,JONES,DEMOCRAT,29.416415065074208
2024,36,LUTTRELL,REPUBLICAN,132.12669156671296
