old_precinct_id,new_district_id,fragment_population,precinct_total,weight
3730001,9,11,856,0.012850467289719626
3730001,10,770,856,0.8995327102803738
3730001,36,75,856,0.08761682242990654
3730002,9,201,1252,0.16054313099041534
3730002,10,1051,1252,0.8394568690095847
3730003,9,129,5773,0.022345401004676944
3730003,10,5644,5773,0.977654598995323
3730004,10,5926,5926,1.0
3730005,10,9375,9375,1.0
3730006,10,7678,7678,1.0
3730007,10,2033,2033,1.0
3730008,10,2158,2158,1.0
3730009,10,1827,1827,1.0
3730010,10,4027,4167,0.9664026877849772
3730010,36,140,4167,0.033597312215022795
3730011,10,834,1013,0.8232971372161896
3730011,36,179,1013,0.17670286278381048
3730012,10,870,921,0.9446254071661238
3730012,36,51,921,0.05537459283387622
3730013,10,839,891,0.941638608305275
3730013,36,52,891,0.058361391694725026
3730014,10,2362,2375,0.9945263157894737
3730014,36,13,2375,0.0054736842105263155
3730015,9,259,3928,0.0659368635437882
3730015,10,3639,3928,0.9264256619144603
3730015,36,30,3928,0.007637474541751527
3730016,10,9891,9891,1.0
3730017,10,2943,2943,1.0
3730018,10,2336,2336,1.0
3730019,10,2302,2302,1.0
3730020,10,4596,4596,1.0
3730021,10,4870,4870,1.0
