old_precinct_id,new_district_id,fragment_population,precinct_total,weight
3750121,13,5788,5788,1.0
3750122,13,7757,7757,1.0
3750123,13,6357,6357,1.0
3750124,13,4693,4693,1.0
3750125,13,6236,6236,1.0
3750126,13,7130,7130,1.0
3750221,13,7558,7558,1.0
3750222,13,6120,6120,1.0
3750223,13,5023,5023,1.0
3750224,13,6793,6793,1.0
3750225,13,4857,4857,1.0
3750321,13,3703,3703,1.0
3750322,13,311,311,1.0
3750323,13,6935,6935,1.0
3750324,13,10727,10727,1.0
3750325,13,6875,6875,1.0
3750326,13,8438,8438,1.0
3750327,13,9482,9482,1.0
3750421,13,5603,5603,1.0
3750422,13,11620,11620,1.0
3750424,13,5331,5331,1.0
3750425,13,8241,8241,1.0
3750426,13,3933,3933,1.0
3750427,13,3822,3822,1.0
