year,new_district_id,candidate,party,estimated_votes
2016,23,Corvalan,LIBERTARIAN,50.0
2016,23,Gallego,DEMOCRAT,1316.0
2016,23,Hurd,REPUBLICAN,560.0
2018,23,CORVALAN,LIBERTARIAN,26.0
2018,23,HURD,REPUBLICAN,431.0
2018,23,ORTIZ JONES,DEMOCRAT,1196.0
2020,23,GONZALES,REPUBLICAN,619.0
2020,23,ORTIZ JONES,DEMOCRAT,1467.0
2020,23,VILLELA,LIBERTARIAN,62.0
2022,23,GONZALES,REPUBLICAN,550.0
2022,23,LIRA,DEMOCRAT,1025.0
2022,23,LOPEZ,OTHER,79.0
2024,23,GONZALES,REPUBLICAN,769.0
2024,23,LIMON,DEMOCRAT,1123.0
