year,new_district_id,candidate,party,estimated_votes
2016,3,Ratcliffe,REPUBLICAN,71.70420074412556
2016,3,Wommack,LIBERTARIAN,5.629282896516057
2016,5,Ratcliffe,REPUBLICAN,142.96913893890795
2016,5,Wommack,LIBERTARIAN,9.359581021182956
2016,32,Ratcliffe,REPUBLICAN,3737.3266603169664
2016,32,Wommack,LIBERTARIAN,257.011136082301
2018,3,ASHBY,LIBERTARIAN,1.0085229087780692
2018,3,KRANTZ,DEMOCRAT,12.382562293853569
2018,3,RATCLIFFE,REPUBLICAN,68.47120331359565
2018,5,ASHBY,LIBERTARIAN,1.4634405666122872
2018,5,KRANTZ,DEMOCRAT,21.307972570172193
2018,5,RATCLIFFE,REPUBLICAN,129.25085411721392
2018,32,ASHBY,LIBERTARIAN,35.52803652460964
2018,32,KRANTZ,DEMOCRAT,644.3094651359742
2018,32,RATCLIFFE,REPUBLICAN,3457.2779425691906
2020,3,ANTONELLI,LIBERTARIAN,1.6661041542609683
2020,3,FALLON,REPUBLICAN,93.55218576060909
2020,3,FOSTER,DEMOCRAT,15.170169881183208
2020,5,ANTONELLI,LIBERTARIAN,2.847234555247966
2020,5,FALLON,REPUBLICAN,185.8769605076404
2020,5,FOSTER,DEMOCRAT,24.588280726382383
2020,32,ANTONELLI,LIBERTARIAN,74.48666129049107
2020,32,FALLON,REPUBLICAN,4755.570853731751
2020,32,FOSTER,DEMOCRAT,737.2415493924343
2022,3,FALLON,REPUBLICAN,83.00729008899438
2022,3,OMERE,DEMOCRAT,10.768225889281963
2022,3,SIMMONS,LIBERTARIAN,1.8754023167226381
2022,5,FALLON,REPUBLICAN,153.7772383441934
2022,5,OMERE,DEMOCRAT,16.570763762702953
2022,5,SIMMONS,LIBERTARIAN,3.924142372046585
2022,32,FALLON,REPUBLICAN,4067.215471566812
2022,32,OMERE,DEMOCRAT,509.66101034801505
2022,32,SIMMONS,LIBERTARIAN,91.20045531123078
2024,3,CARDELL,DEMOCRAT,16.279688985267526
2024,3,FALLON,REPUBLICAN,106.74896104949806
2024,5,CARDELL,DEMOCRAT,25.435164627724117
2024,5,FALLON,REPUBLICAN,203.9354184708647
2024,32,CARDELL,DEMOCRAT,754.2851463870084
2024,32,FALLON,REPUBLICAN,5333.315620479637
