old_precinct_id,new_district_id,fragment_population,precinct_total,weight
3790101,5,298,3524,0.08456299659477866
3790101,32,3226,3524,0.9154370034052214
3790102,5,124,1584,0.07828282828282829
3790102,32,1460,1584,0.9217171717171717
3790203,5,33,2479,0.013311819281968536
3790203,32,2446,2479,0.9866881807180314
3790204,32,2545,2545,1.0
3790305,3,242,2858,0.08467459762071379
3790305,32,2616,2858,0.9153254023792862
3790306,32,2814,2814,1.0
3790407,3,110,3696,0.02976190476190476
3790407,5,225,3696,0.060876623376623376
3790407,32,3361,3696,0.9093614718614719
3790408,3,132,2783,0.04743083003952569
3790408,5,124,2783,0.044556234279554435
3790408,32,2527,2783,0.9080129356809199
