year,new_district_id,candidate,party,estimated_votes
2016,13,DeWeese,LIBERTARIAN,3674.534134517594
2016,13,Thornberry,REPUBLICAN,46193.97259119862
2016,13,Tomlinson,OTHER,1788.7191024966992
2016,19,DeWeese,LIBERTARIAN,2.465865482406049
2016,19,Thornberry,REPUBLICAN,30.02740880138299
2016,19,Tomlinson,OTHER,1.2808975033007264
2018,13,DEWEESE,LIBERTARIAN,822.2106552120687
2018,13,SAGAN,DEMOCRAT,7699.755844393997
2018,13,THORNBERRY,REPUBLICAN,39674.06315689087
2018,19,DEWEESE,LIBERTARIAN,0.78934478793131
2018,19,SAGAN,DEMOCRAT,5.244155606003282
2018,19,THORNBERRY,REPUBLICAN,26.93684310912826
2020,13,JACKSON,REPUBLICAN,50481.16364382209
2020,13,TRUJILLO,DEMOCRAT,12176.208202531561
2020,13,WESTBROOK,LIBERTARIAN,1448.7505995803026
2020,19,JACKSON,REPUBLICAN,33.836356177906666
2020,19,TRUJILLO,DEMOCRAT,7.791797468437209
2020,19,WESTBROOK,LIBERTARIAN,1.2494004196973563
2022,13,BROWN,DEMOCRAT,8539.889291257114
2022,13,JACKSON,REPUBLICAN,38988.9379203311
2022,19,BROWN,DEMOCRAT,2.1107087428867044
2022,19,JACKSON,REPUBLICAN,24.06207966890843
2024,13,JACKSON,REPUBLICAN,57778.43869632695
2024,19,JACKSON,REPUBLICAN,31.561303673047075
