old_precinct_id,new_district_id,fragment_population,precinct_total,weight
3810110,13,9859,9859,1.0
3810111,13,10780,10780,1.0
3810112,13,9780,9780,1.0
3810114,13,9922,9922,1.0
3810123,13,5809,5809,1.0
3810208,13,15006,15006,1.0
3810220,13,5678,5678,1.0
3810222,13,9397,9397,1.0
3810227,13,11726,11726,1.0
3810228,13,8236,8236,1.0
3810230,13,6955,6955,1.0
3810305,13,4729,4757,0.9941139373554762
3810305,19,28,4757,0.00588606264452386
3810306,13,7634,7715,0.98950097213221
3810306,19,81,7715,0.01049902786779002
3810307,13,6696,6696,1.0
3810309,13,9876,9876,1.0
3810324,13,10471,10471,1.0
3810325,13,8270,8270,1.0
3810415,13,10998,10998,1.0
3810418,13,10333,10333,1.0
3810421,13,9786,9786,1.0
3810426,13,5764,5764,1.0
3810429,13,8242,8242,1.0
