old_precinct_id,new_district_id,fragment_population,precinct_total,weight
3870001,4,738,738,1.0
3870002,4,1746,1746,1.0
3870003,4,2946,2946,1.0
3870004,4,1916,1916,1.0
3870005,3,39,1901,0.020515518148342977
3870005,4,1862,1901,0.979484481851657
3870007,4,573,573,1.0
3870009,3,34,790,0.043037974683544304
3870009,4,756,790,0.9569620253164557
3870010,3,177,723,0.24481327800829875
3870010,4,546,723,0.7551867219917012
3870011,4,434,434,1.0
3870013,4,1357,1357,1.0
3870014,4,717,717,1.0
3870017,4,382,382,1.0
3870018,4,689,689,1.0
3870019,4,757,757,1.0
3870020,4,316,316,1.0
3870021,4,431,431,1.0
3870024,4,530,530,1.0
3870027,4,716,716,1.0
3870028,4,541,541,1.0
3870029,3,82,425,0.19294117647058823
3870029,4,343,425,0.8070588235294117
3870030,3,48,320,0.15
3870030,4,272,320,0.85
3870031,3,84,418,0.20095693779904306
3870031,4,334,418,0.7990430622009569
