year,new_district_id,candidate,party,estimated_votes
2016,23,Corvalan,LIBERTARIAN,121.0
2016,23,Gallego,DEMOCRAT,1761.0
2016,23,Hurd,REPUBLICAN,1183.0
2018,23,CORVALAN,LIBERTARIAN,49.0
2018,23,HURD,REPUBLICAN,1010.0
2018,23,ORTIZ JONES,DEMOCRAT,1311.0
2020,23,GONZALES,REPUBLICAN,1841.0
2020,23,ORTIZ JONES,DEMOCRAT,1502.0
2020,23,VILLELA,LIBERTARIAN,128.0
2022,23,GONZALES,REPUBLICAN,1241.0
2022,23,LIRA,DEMOCRAT,714.0
2022,23,LOPEZ,OTHER,95.0
2024,23,GONZALES,REPUBLICAN,2271.0
2024,23,LIMON,DEMOCRAT,886.0
