year,new_district_id,candidate,party,estimated_votes
2016,15,Barrera,DEMOCRAT,928.0352200707723
2016,15,Farenthold,REPUBLICAN,1641.9162659613362
2016,27,Barrera,DEMOCRAT,108.96477992922763
2016,27,Farenthold,REPUBLICAN,146.08373403866358
2018,15,CLOUD,REPUBLICAN,1404.3462903286563
2018,15,DUERR,OTHER,22.990898218571246
2018,15,HOLGUIN,DEMOCRAT,729.4348494169612
2018,15,TINUS,LIBERTARIAN,14.568802795939524
2018,27,CLOUD,REPUBLICAN,171.65370967134373
2018,27,DUERR,OTHER,5.009101781428754
2018,27,HOLGUIN,DEMOCRAT,112.56515058303867
2018,27,TINUS,LIBERTARIAN,2.431197204060476
2020,15,CLOUD,REPUBLICAN,1938.14051153462
2020,15,DE LA FUENTE,DEMOCRAT,872.7194885422565
2020,15,GRAY,LIBERTARIAN,48.392620854216915
2020,27,CLOUD,REPUBLICAN,195.85948846537985
2020,27,DE LA FUENTE,DEMOCRAT,115.28051145774347
2020,27,GRAY,LIBERTARIAN,2.607379145783085
2022,15,CLOUD,REPUBLICAN,1432.892188184566
2022,15,PEREZ,DEMOCRAT,572.7769644757752
2022,27,CLOUD,REPUBLICAN,169.1078118154339
2022,27,PEREZ,DEMOCRAT,109.22303552422483
2024,15,CLOUD,REPUBLICAN,1937.7330006650218
2024,15,LLOYD,DEMOCRAT,742.390424744574
2024,27,CLOUD,REPUBLICAN,206.2669993349782
2024,27,LLOYD,DEMOCRAT,104.6095752554259
