old_precinct_id,new_district_id,fragment_population,precinct_total,weight
3910001,15,1784,1793,0.9949804796430564
3910001,27,9,1793,0.0050195203569436695
3910002,15,1714,1714,1.0
3910003,15,1298,1313,0.9885757806549885
3910003,27,15,1313,0.011424219345011425
3910004,15,1653,1653,1.0
391001A,15,1363,1363,1.0
391002A,15,557,557,1.0
391002B,15,381,381,1.0
391003A,15,1710,1710,1.0
391004A,15,166,776,0.21391752577319587
391004A,27,610,776,0.7860824742268041
391004B,15,22,216,0.10185185185185185
391004B,27,194,216,0.8981481481481481
