year,new_district_id,candidate,party,estimated_votes
2016,10,Flores,REPUBLICAN,271.7367782741796
2016,10,Matta,DEMOCRAT,43.82368870137891
2016,10,Patterson,LIBERTARIAN,6.50420237335802
2016,17,Flores,REPUBLICAN,4491.263221725821
2016,17,Matta,DEMOCRAT,1956.1763112986212
2016,17,Patterson,LIBERTARIAN,121.49579762664197
2018,10,CHURCHMAN,LIBERTARIAN,3.0949403858943088
2018,10,FLORES,REPUBLICAN,250.5971798579336
2018,10,KENNEDY,DEMOCRAT,43.45964924175941
2018,17,CHURCHMAN,LIBERTARIAN,53.90505961410568
2018,17,FLORES,REPUBLICAN,4094.402820142066
2018,17,KENNEDY,DEMOCRAT,1794.5403507582407
2020,10,BROWN,LIBERTARIAN,8.286050096820096
2020,10,KENNEDY,DEMOCRAT,56.887432017914264
2020,10,SESSIONS,REPUBLICAN,318.9357683800935
2020,17,BROWN,LIBERTARIAN,133.7139499031799
2020,17,KENNEDY,DEMOCRAT,2184.1125679820857
2020,17,SESSIONS,REPUBLICAN,5265.064231619907
2022,10,SESSIONS,REPUBLICAN,266.53100776651735
2022,10,WOODS,DEMOCRAT,37.12165323521504
2022,17,SESSIONS,REPUBLICAN,4390.468992233483
2022,17,WOODS,DEMOCRAT,1250.878346764785
2024,10,LORENZEN,DEMOCRAT,51.471221263116846
2024,10,SESSIONS,REPUBLICAN,354.24823439364184
2024,17,LORENZEN,DEMOCRAT,1723.5287787368832
2024,17,SESSIONS,REPUBLICAN,5862.751765606358
