old_precinct_id,new_district_id,fragment_population,precinct_total,weight
3950001,17,1913,1913,1.0
3950002,10,0,3749,0.0
3950002,17,3749,3749,1.0
3950003,10,205,1876,0.10927505330490406
3950003,17,1671,1876,0.8907249466950959
3950004,10,97,1303,0.07444359171143515
3950004,17,1206,1303,0.9255564082885649
3950005,17,2318,2318,1.0
3950006,10,217,3680,0.058967391304347826
3950006,17,3463,3680,0.9410326086956522
3950007,10,51,369,0.13821138211382114
3950007,17,318,369,0.8617886178861789
3950008,10,81,407,0.19901719901719903
3950008,17,326,407,0.800982800982801
3950011,10,233,2270,0.1026431718061674
3950011,17,2037,2270,0.8973568281938326
3950013,17,712,712,1.0
3950016,10,190,810,0.2345679012345679
3950016,17,620,810,0.7654320987654321
3950018,10,34,198,0.1717171717171717
3950018,17,164,198,0.8282828282828283
3950019,10,193,1535,0.1257328990228013
3950019,17,1342,1535,0.8742671009771987
3950022,17,1973,1973,1.0
3950023,17,2441,2441,1.0
