year,new_district_id,candidate,party,estimated_votes
2016,11,Conaway,REPUBLICAN,3308.3484526323455
2016,11,Landholt,LIBERTARIAN,209.3386805504988
2016,19,Conaway,REPUBLICAN,13.651547367654555
2016,19,Landholt,LIBERTARIAN,0.6613194495012015
2018,11,CONAWAY,REPUBLICAN,2873.785705963737
2018,11,LEEDER,DEMOCRAT,323.074921721401
2018,11,SMITH,LIBERTARIAN,21.987584650112865
2018,19,CONAWAY,REPUBLICAN,11.214294036263016
2018,19,LEEDER,DEMOCRAT,0.925078278598995
2018,19,SMITH,LIBERTARIAN,0.012415349887133182
2020,11,CODY,LIBERTARIAN,74.7670326467159
2020,11,HOGG,DEMOCRAT,492.3102239603576
2020,11,PFLUGER,REPUBLICAN,3727.1025310921104
2020,19,CODY,LIBERTARIAN,0.23296735328410417
2020,19,HOGG,DEMOCRAT,1.6897760396424406
2020,19,PFLUGER,REPUBLICAN,14.897468907889625
2022,11,PFLUGER,REPUBLICAN,2894.2603471842535
2022,19,PFLUGER,REPUBLICAN,11.739652815746311
2024,11,PFLUGER,REPUBLICAN,3675.9676257517767
2024,19,PFLUGER,REPUBLICAN,15.032374248223073
