old_precinct_id,new_district_id,fragment_population,precinct_total,weight
4010111,1,4496,4496,1.0
4010112,1,4847,4847,1.0
4010113,1,5562,5562,1.0
4010114,1,3522,3522,1.0
4010201,1,6494,6494,1.0
4010212,1,2513,2513,1.0
4010213,1,4244,4244,1.0
4010214,1,3735,3735,1.0
4010215,1,4893,4893,1.0
4010302,1,3684,3684,1.0
4010303,1,5114,5114,1.0
4010314,1,3018,3018,1.0
4010315,1,1897,1897,1.0
4010316,1,1463,1463,1.0
4010317,1,1056,1056,1.0
4010318,1,1881,1881,1.0
4010319,1,699,699,1.0
4010404,1,4631,4631,1.0
4010405,1,2543,2543,1.0
4010416,1,4081,4081,1.0
4010417,1,4007,4007,1.0
4010418,1,4530,4530,1.0
