year,new_district_id,candidate,party,estimated_votes
2016,1,Gohmert,REPUBLICAN,2521.0
2016,1,Gray,LIBERTARIAN,60.0
2016,1,McKellar,DEMOCRAT,868.0
2016,36,Gohmert,REPUBLICAN,0.0
2016,36,Gray,LIBERTARIAN,0.0
2016,36,McKellar,DEMOCRAT,0.0
2018,1,CALLAWAY,LIBERTARIAN,22.0
2018,1,GOHMERT,REPUBLICAN,2247.0
2018,1,MCKELLAR,DEMOCRAT,726.0
2018,36,CALLAWAY,LIBERTARIAN,0.0
2018,36,GOHMERT,REPUBLICAN,0.0
2018,36,MCKELLAR,DEMOCRAT,0.0
2020,1,GILBERT,DEMOCRAT,949.0
2020,1,GOHMERT,REPUBLICAN,2942.0
2020,36,GILBERT,DEMOCRAT,0.0
2020,36,GOHMERT,REPUBLICAN,0.0
2022,1,JEFFERSON,DEMOCRAT,586.0
2022,1,MORAN,REPUBLICAN,2237.0
2022,36,JEFFERSON,DEMOCRAT,0.0
2022,36,MORAN,REPUBLICAN,0.0
2024,1,MORAN,REPUBLICAN,2969.0
2024,36,MORAN,REPUBLICAN,0.0
