old_precinct_id,new_district_id,fragment_population,precinct_total,weight
4070001,10,5436,5436,1.0
4070002,9,1057,9486,0.11142736664558296
4070002,10,8429,9486,0.888572633354417
4070003,8,256,2741,0.09339657059467348
4070003,10,2485,2741,0.9066034294053266
4070004,9,561,3700,0.15162162162162163
4070004,10,3139,3700,0.8483783783783784
4070005,2,484,6425,0.0753307392996109
4070005,8,392,6425,0.061011673151750975
4070005,9,438,6425,0.06817120622568093
4070005,10,5111,6425,0.7954863813229572
4070006,10,2918,2918,1.0
4070007,10,3053,3053,1.0
4070008,8,55,2133,0.025785278949835913
4070008,10,2078,2133,0.974214721050164
4070009,9,278,2200,0.12636363636363637
4070009,10,1922,2200,0.8736363636363637
4070010,9,923,2485,0.37142857142857144
4070010,10,1562,2485,0.6285714285714286
4070011,8,428,2299,0.18616789908655937
4070011,10,1871,2299,0.8138321009134406
