year,new_district_id,candidate,party,estimated_votes
2016,15,Barrera,DEMOCRAT,2772.117956056402
2016,15,Farenthold,REPUBLICAN,4697.736730557659
2016,15,Gonzalez,REPUBLICAN,2580.364992557129
2016,15,Vela,DEMOCRAT,3261.5935078175753
2016,27,Barrera,DEMOCRAT,1963.1505896994502
2016,27,Farenthold,REPUBLICAN,5623.714427243938
2016,27,Gonzalez,REPUBLICAN,16.449424831416106
2016,27,Vela,DEMOCRAT,16.996826656088853
2016,28,Gonzalez,REPUBLICAN,64.08818300964978
2016,28,Vela,DEMOCRAT,76.22762355194149
2016,34,Barrera,DEMOCRAT,39.73145424414752
2016,34,Farenthold,REPUBLICAN,93.54884219840211
2016,34,Gonzalez,REPUBLICAN,40.09739960180494
2016,34,Vela,DEMOCRAT,42.18204197439428
2018,15,CLOUD,REPUBLICAN,3931.7268875332675
2018,15,DUERR,OTHER,153.33725133886148
2018,15,GONZALEZ,REPUBLICAN,2302.256174924414
2018,15,HOLGUIN,DEMOCRAT,2109.620712713478
2018,15,TINUS,LIBERTARIAN,52.58434290067756
2018,15,VELA,DEMOCRAT,2668.981675299917
2018,27,CLOUD,REPUBLICAN,4739.248815505784
2018,27,DUERR,OTHER,136.7663260923463
2018,27,GONZALEZ,REPUBLICAN,15.190400634668782
2018,27,HOLGUIN,DEMOCRAT,1612.4550852882426
2018,27,TINUS,LIBERTARIAN,71.16048407827813
2018,27,VELA,DEMOCRAT,15.217770725902419
2018,28,GONZALEZ,REPUBLICAN,61.577929865145435
2018,28,VELA,DEMOCRAT,58.21322094634294
2018,34,CLOUD,REPUBLICAN,80.02429696094865
2018,34,DUERR,OTHER,2.896422568792204
2018,34,GONZALEZ,REPUBLICAN,36.97549457577153
2018,34,HOLGUIN,DEMOCRAT,30.924201998279216
2018,34,TINUS,LIBERTARIAN,0.25517302104428985
2018,34,VELA,DEMOCRAT,37.587333027837815
2020,15,CLOUD,REPUBLICAN,5622.465938146296
2020,15,CRISTO,LIBERTARIAN,85.50369743786518
2020,15,DE LA FUENTE,DEMOCRAT,2854.840165114428
2020,15,GONZALEZ,REPUBLICAN,3502.3112633192527
2020,15,GRAY,LIBERTARIAN,189.2188101255036
2020,15,ROYAL,OTHER,89.79229288833518
2020,15,VELA,DEMOCRAT,3260.52925850662
2020,27,CLOUD,REPUBLICAN,6755.227827409725
2020,27,CRISTO,LIBERTARIAN,0.9032130107100357
2020,27,DE LA FUENTE,DEMOCRAT,2153.6861683238376
2020,27,GONZALEZ,REPUBLICAN,21.97818326061087
2020,27,GRAY,LIBERTARIAN,223.1477897616507
2020,27,ROYAL,OTHER,0.4379214597381991
2020,27,VELA,DEMOCRAT,18.721142403808013
2020,28,CRISTO,LIBERTARIAN,1.3912439800239862
2020,28,GONZALEZ,REPUBLICAN,86.05407461022412
2020,28,ROYAL,OTHER,1.6981599252304922
2020,28,VELA,DEMOCRAT,72.57249526834569
2020,34,CLOUD,REPUBLICAN,115.30623444397808
2020,34,CRISTO,LIBERTARIAN,2.201845571400792
2020,34,DE LA FUENTE,DEMOCRAT,42.47366656173374
2020,34,GONZALEZ,REPUBLICAN,53.65647880991229
2020,34,GRAY,LIBERTARIAN,1.6334001128457007
2020,34,ROYAL,OTHER,1.071625726696125
2020,34,VELA,DEMOCRAT,46.177103821226744
2022,15,CLOUD,REPUBLICAN,6720.879419066536
2022,15,PEREZ,DEMOCRAT,4085.9595710029735
2022,27,CLOUD,REPUBLICAN,4962.421788015879
2022,27,PEREZ,DEMOCRAT,1774.3276410948545
2022,28,CLOUD,REPUBLICAN,37.16653370562425
2022,28,PEREZ,DEMOCRAT,32.21539688871161
2022,34,CLOUD,REPUBLICAN,116.53225921196137
2022,34,PEREZ,DEMOCRAT,55.4973910134613
2024,15,CLOUD,REPUBLICAN,9914.007832821513
2024,15,LLOYD,DEMOCRAT,5337.277381121202
2024,27,CLOUD,REPUBLICAN,7030.884852862719
2024,27,LLOYD,DEMOCRAT,2338.4228814613257
2024,28,CLOUD,REPUBLICAN,57.499202233745514
2024,28,LLOYD,DEMOCRAT,46.07857997606701
2024,34,CLOUD,REPUBLICAN,173.60811208202156
2024,34,LLOYD,DEMOCRAT,71.22115744140581
