year,new_district_id,candidate,party,estimated_votes
2016,11,Corvalan,LIBERTARIAN,0.3012616806917957
2016,11,Gallego,DEMOCRAT,2.5643818569602814
2016,11,Hurd,REPUBLICAN,8.477272651828246
2016,23,Corvalan,LIBERTARIAN,23.698738319308205
2016,23,Gallego,DEMOCRAT,218.43561814303973
2016,23,Hurd,REPUBLICAN,786.5227273481717
2018,11,CORVALAN,LIBERTARIAN,0.32856267323938987
2018,11,HURD,REPUBLICAN,8.13530245315275
2018,11,ORTIZ JONES,DEMOCRAT,2.122681579777258
2018,23,CORVALAN,LIBERTARIAN,23.67143732676061
2018,23,HURD,REPUBLICAN,721.8646975468472
2018,23,ORTIZ JONES,DEMOCRAT,191.87731842022276
2020,11,GONZALES,REPUBLICAN,10.116822380904825
2020,11,ORTIZ JONES,DEMOCRAT,2.528127267885083
2020,11,VILLELA,LIBERTARIAN,0.17796414660940776
2020,23,GONZALES,REPUBLICAN,905.8831776190952
2020,23,ORTIZ JONES,DEMOCRAT,197.47187273211495
2020,23,VILLELA,LIBERTARIAN,12.822035853390592
2022,11,GONZALES,REPUBLICAN,9.043984047736203
2022,11,LIRA,DEMOCRAT,1.4429200885658717
2022,11,LOPEZ,OTHER,0.43664106312083817
2022,23,GONZALES,REPUBLICAN,783.9560159522638
2022,23,LIRA,DEMOCRAT,148.55707991143413
2022,23,LOPEZ,OTHER,38.56335893687916
2024,11,GONZALES,REPUBLICAN,10.889955541551231
2024,11,LIMON,DEMOCRAT,2.0333680986522884
2024,23,GONZALES,REPUBLICAN,897.1100444584488
2024,23,LIMON,DEMOCRAT,163.96663190134768
