old_precinct_id,new_district_id,fragment_population,precinct_total,weight
4230001,1,5212,5212,1.0
4230002,1,3564,3564,1.0
4230003,1,4589,4589,1.0
4230004,1,5521,5521,1.0
4230005,1,5283,5283,1.0
4230005,32,0,5283,0.0
4230006,1,2469,2469,1.0
4230007,1,6809,6809,1.0
4230008,1,2883,2883,1.0
4230008,32,0,2883,0.0
4230009,1,3221,3221,1.0
4230010,1,7942,7942,1.0
4230011,1,7102,7102,1.0
4230012,1,5443,5443,1.0
4230013,1,4254,4254,1.0
4230014,1,7424,7424,1.0
4230015,1,6050,6090,0.993431855500821
4230015,5,40,6090,0.006568144499178982
4230016,1,3558,3558,1.0
4230017,1,2789,3093,0.9017135467183964
4230017,5,273,3093,0.08826382153249272
4230017,32,31,3093,0.010022631749110895
4230018,1,4419,4419,1.0
4230019,1,9880,9880,1.0
4230020,1,3852,3852,1.0
4230021,1,2932,2932,1.0
4230022,1,3075,3075,1.0
4230023,1,3925,3925,1.0
4230024,1,5431,5431,1.0
4230025,1,4750,4750,1.0
4230026,1,5352,5352,1.0
4230027,1,5428,5428,1.0
4230028,1,9908,9908,1.0
4230029,1,3415,3415,1.0
4230030,1,8022,8022,1.0
4230031,1,11109,11109,1.0
4230032,1,4632,4632,1.0
4230033,1,4185,4185,1.0
4230034,1,4330,4330,1.0
4230035,1,6328,6328,1.0
4230036,1,8838,8838,1.0
4230037,1,4992,4992,1.0
4230038,1,6255,6255,1.0
4230039,1,2692,2692,1.0
4230040,1,6891,6891,1.0
4230041,1,4248,4248,1.0
4230042,1,8517,8517,1.0
4230042,5,0,8517,0.0
4230043,1,3454,3454,1.0
4230044,1,9983,10264,0.9726227591582229
4230044,5,281,10264,0.027377240841777086
4230045,1,5733,5733,1.0
4230046,1,3368,3368,1.0
4230047,1,1336,1336,1.0
4230047,32,0,1336,0.0
4230048,1,5541,5541,1.0
4230049,1,4956,4956,1.0
4230050,1,4289,4289,1.0
4230051,1,9467,9467,1.0
4230052,1,4137,4522,0.9148606811145511
4230052,5,385,4522,0.08513931888544891
4230053,1,1195,1195,1.0
4230054,1,6712,6712,1.0
4230055,1,7867,7867,1.0
4230056,1,7960,7960,1.0
4230057,1,1272,1272,1.0
4230058,1,8603,8603,1.0
4230059,1,9580,9580,1.0
4230060,1,5092,5092,1.0
4230061,1,6995,6995,1.0
4230062,1,4475,4475,1.0
4230062,32,0,4475,0.0
4230063,1,2773,2773,1.0
4230064,1,6530,6530,1.0
4230066,1,4867,4867,1.0
4230071,1,10132,10132,1.0
4230073,1,3393,3393,1.0
4230074,1,3186,3186,1.0
4230075,1,5821,5821,1.0
4230075,5,0,5821,0.0
4230076,1,5922,5922,1.0
4230077,1,3011,3011,1.0
4230079,1,7983,7983,1.0
4230081,1,1966,1966,1.0
4230082,1,1286,1286,1.0
4230085,1,3964,3964,1.0
