year,new_district_id,candidate,party,estimated_votes
2016,17,Schneiderman,LIBERTARIAN,4.631459513309147
2016,17,Thomas,DEMOCRAT,33.5716451473023
2016,17,Williams,REPUBLICAN,209.82203964927407
2016,25,Schneiderman,LIBERTARIAN,77.36854048669086
2016,25,Thomas,DEMOCRAT,483.42835485269774
2016,25,Williams,REPUBLICAN,2960.1779603507257
2018,17,LINDSEY,LIBERTARIAN,2.1215249707957944
2018,17,OLIVER,DEMOCRAT,39.06183476700699
2018,17,WILLIAMS,REPUBLICAN,206.53714098859837
2018,25,LINDSEY,LIBERTARIAN,41.87847502920421
2018,25,OLIVER,DEMOCRAT,537.938165232993
2018,25,WILLIAMS,REPUBLICAN,2800.4628590114016
2020,17,KELSEY,LIBERTARIAN,4.426141035236157
2020,17,OLIVER,DEMOCRAT,48.035850078298566
2020,17,WILLIAMS,REPUBLICAN,279.94352319144
2020,25,KELSEY,LIBERTARIAN,70.57385896476384
2020,25,OLIVER,DEMOCRAT,672.9641499217015
2020,25,WILLIAMS,REPUBLICAN,3841.0564768085596
2022,17,WILLIAMS,REPUBLICAN,226.12495917814462
2022,25,WILLIAMS,REPUBLICAN,3313.8750408218557
2024,17,HAGG,OTHER,5.144077721854767
2024,17,WILLIAMS,REPUBLICAN,288.59327745215154
2024,25,HAGG,OTHER,76.85592227814523
2024,25,WILLIAMS,REPUBLICAN,4370.406722547848
