year,new_district_id,candidate,party,estimated_votes
2016,15,Cary,OTHER,0.24331550802139038
2016,15,Cuellar,DEMOCRAT,9.072192513368984
2016,15,Hardin,REPUBLICAN,3.5802139037433154
2016,28,Cary,OTHER,140.7566844919786
2016,28,Cuellar,DEMOCRAT,8856.92780748663
2016,28,Hardin,REPUBLICAN,1322.4197860962568
2018,15,CUELLAR,DEMOCRAT,6.74331550802139
2018,15,THOMAS,LIBERTARIAN,0.7647058823529411
2018,28,CUELLAR,DEMOCRAT,9114.256684491978
2018,28,THOMAS,LIBERTARIAN,420.2352941176471
2020,15,CONGDON,LIBERTARIAN,0.0
2020,15,CUELLAR,DEMOCRAT,7.994652406417113
2020,15,WHITTEN,REPUBLICAN,4.379679144385027
2020,28,CONGDON,LIBERTARIAN,233.0
2020,28,CUELLAR,DEMOCRAT,11796.005347593582
2020,28,WHITTEN,REPUBLICAN,3907.620320855615
2022,15,CUELLAR,DEMOCRAT,6.53475935828877
2022,15,GARCIA,REPUBLICAN,3.962566844919786
2022,28,CUELLAR,DEMOCRAT,7189.465240641712
2022,28,GARCIA,REPUBLICAN,3005.03743315508
2024,15,CUELLAR,DEMOCRAT,7.647058823529412
2024,15,FURMAN,REPUBLICAN,4.483957219251337
2024,28,CUELLAR,DEMOCRAT,10100.35294117647
2024,28,FURMAN,REPUBLICAN,4527.516042780749
