old_precinct_id,new_district_id,fragment_population,precinct_total,weight
4270001,28,5994,5994,1.0
4270002,28,7035,7035,1.0
4270003,28,6540,6540,1.0
4270004,15,39,1122,0.034759358288770054
4270004,28,1083,1122,0.9652406417112299
4270005,28,450,450,1.0
4270006,28,11726,11726,1.0
4270007,28,1409,1409,1.0
4270008,28,8853,8853,1.0
4270009,28,5682,5682,1.0
4270010,28,6417,6417,1.0
4270011,28,8079,8079,1.0
4270012,28,9992,9992,1.0
4270013,15,0,8291,0.0
4270013,28,8291,8291,1.0
4270014,15,0,6859,0.0
4270014,28,6859,6859,1.0
