year,new_district_id,candidate,party,estimated_votes
2016,19,Arrington,REPUBLICAN,10.21477955511276
2016,19,Bonar,LIBERTARIAN,0.3307109954920881
2016,19,Conaway,REPUBLICAN,3.4904371584699456
2016,19,Landholt,LIBERTARIAN,0.24863387978142076
2016,19,Lawson,OTHER,0.2745533600241078
2016,25,Arrington,REPUBLICAN,861.7852204448872
2016,25,Bonar,LIBERTARIAN,26.66928900450791
2016,25,Conaway,REPUBLICAN,2143.50956284153
2016,25,Landholt,LIBERTARIAN,172.75136612021856
2016,25,Lawson,OTHER,17.725446639975893
2018,19,ARRINGTON,REPUBLICAN,9.297545555740054
2018,19,CONAWAY,REPUBLICAN,3.021857923497268
2018,19,LEEDER,DEMOCRAT,0.3442622950819672
2018,19,LEVARIO,DEMOCRAT,0.6926329772513423
2018,19,SMITH,LIBERTARIAN,0.009562841530054645
2018,25,ARRINGTON,REPUBLICAN,815.70245444426
2018,25,CONAWAY,REPUBLICAN,1814.9781420765028
2018,25,LEEDER,DEMOCRAT,227.65573770491804
2018,25,LEVARIO,DEMOCRAT,60.30736702274865
2018,25,SMITH,LIBERTARIAN,13.990437158469945
2020,19,ARRINGTON,REPUBLICAN,12.024367324096113
2020,19,BURNES,LIBERTARIAN,0.1185574681893938
2020,19,CODY,LIBERTARIAN,0.028925619834710745
2020,19,HOGG,DEMOCRAT,0.4049586776859504
2020,19,PFLUGER,REPUBLICAN,3.7458677685950414
2020,19,WATSON,DEMOCRAT,0.79869867099623
2020,25,ARRINGTON,REPUBLICAN,1039.9756326759039
2020,25,BURNES,LIBERTARIAN,10.881442531810606
2020,25,CODY,LIBERTARIAN,28.97107438016529
2020,25,HOGG,DEMOCRAT,263.59504132231405
2020,25,PFLUGER,REPUBLICAN,2286.254132231405
2020,25,WATSON,DEMOCRAT,77.20130132900377
2022,19,WILLIAMS,REPUBLICAN,10.452070076289656
2022,25,WILLIAMS,REPUBLICAN,2215.5479299237104
2024,19,HAGG,OTHER,0.0
2024,19,WILLIAMS,REPUBLICAN,14.86558136636554
2024,25,HAGG,OTHER,0.0
2024,25,WILLIAMS,REPUBLICAN,3258.1344186336346
