year,new_district_id,candidate,party,estimated_votes
2016,11,Conaway,REPUBLICAN,559.7916063675832
2016,11,Landholt,LIBERTARIAN,28.98408104196816
2016,19,Conaway,REPUBLICAN,0.0
2016,19,Landholt,LIBERTARIAN,0.0
2016,23,Conaway,REPUBLICAN,0.20839363241678724
2016,23,Landholt,LIBERTARIAN,0.015918958031837915
2018,11,CONAWAY,REPUBLICAN,453.8205499276411
2018,11,LEEDER,DEMOCRAT,29.985528219971055
2018,11,SMITH,LIBERTARIAN,2.9985528219971056
2018,19,CONAWAY,REPUBLICAN,0.0
2018,19,LEEDER,DEMOCRAT,0.0
2018,19,SMITH,LIBERTARIAN,0.0
2018,23,CONAWAY,REPUBLICAN,0.17945007235890012
2018,23,LEEDER,DEMOCRAT,0.01447178002894356
2018,23,SMITH,LIBERTARIAN,0.001447178002894356
2020,11,CODY,LIBERTARIAN,5.996987951807229
2020,11,HOGG,DEMOCRAT,46.980421686746986
2020,11,PFLUGER,REPUBLICAN,569.7635542168675
2020,19,CODY,LIBERTARIAN,0.0
2020,19,HOGG,DEMOCRAT,0.0
2020,19,PFLUGER,REPUBLICAN,0.0
2020,23,CODY,LIBERTARIAN,0.0030120481927710845
2020,23,HOGG,DEMOCRAT,0.01957831325301205
2020,23,PFLUGER,REPUBLICAN,0.23644578313253012
2022,11,PFLUGER,REPUBLICAN,416.8192771084337
2022,19,PFLUGER,REPUBLICAN,0.0
2022,23,PFLUGER,REPUBLICAN,0.1807228915662651
2024,11,PFLUGER,REPUBLICAN,571.7590361445783
2024,19,PFLUGER,REPUBLICAN,0.0
2024,23,PFLUGER,REPUBLICAN,0.24096385542168677
