year,new_district_id,candidate,party,estimated_votes
2016,13,DeWeese,LIBERTARIAN,2.4816744660830077
2016,13,Thornberry,REPUBLICAN,45.42383207685999
2016,13,Tomlinson,OTHER,1.0024260678875976
2016,19,DeWeese,LIBERTARIAN,101.51832553391698
2016,19,Thornberry,REPUBLICAN,1721.57616792314
2016,19,Tomlinson,OTHER,50.9975739321124
2018,13,DEWEESE,LIBERTARIAN,0.49022402295478784
2018,13,SAGAN,DEMOCRAT,4.530024235170547
2018,13,THORNBERRY,REPUBLICAN,35.19675873781625
2018,19,DEWEESE,LIBERTARIAN,15.509775977045212
2018,19,SAGAN,DEMOCRAT,367.4699757648295
2018,19,THORNBERRY,REPUBLICAN,1457.8032412621837
2020,13,JACKSON,REPUBLICAN,46.13975162234031
2020,13,TRUJILLO,DEMOCRAT,6.315942671297724
2020,13,WESTBROOK,LIBERTARIAN,1.3172105575007313
2020,19,JACKSON,REPUBLICAN,1744.86024837766
2020,19,TRUJILLO,DEMOCRAT,476.6840573287023
2020,19,WESTBROOK,LIBERTARIAN,39.68278944249927
2022,13,ARRINGTON,REPUBLICAN,36.76167616712539
2022,13,LEWIS,OTHER,3.9341072626467937
2022,19,ARRINGTON,REPUBLICAN,1357.2383238328748
2022,19,LEWIS,OTHER,204.0658927373532
2024,13,ARRINGTON,REPUBLICAN,50.05157012553715
2024,13,JOHNSON,LIBERTARIAN,3.898155059197083
2024,13,LEWIS,OTHER,2.3449300853979036
2024,19,ARRINGTON,REPUBLICAN,1768.9484298744628
2024,19,JOHNSON,LIBERTARIAN,169.10184494080292
2024,19,LEWIS,OTHER,120.6550699146021
