old_precinct_id,new_district_id,fragment_population,precinct_total,weight
4391001,12,6662,6662,1.0
4391004,25,5261,5261,1.0
4391005,12,1776,1776,1.0
4391008,12,942,942,1.0
4391008,25,0,942,0.0
4391009,12,3845,3845,1.0
4391010,12,1944,2152,0.9033457249070632
4391010,25,208,2152,0.09665427509293681
4391011,25,4998,4998,1.0
4391012,25,7051,7051,1.0
4391013,25,4843,4843,1.0
4391014,12,257,2602,0.09877017678708686
4391014,25,2345,2602,0.9012298232129131
4391015,12,3603,3603,1.0
4391019,12,3139,3213,0.9769685652038593
4391019,25,74,3213,0.023031434796140678
4391021,12,5124,5124,1.0
4391022,12,222,4436,0.05004508566275924
4391022,25,4214,4436,0.9499549143372408
4391023,25,12679,12679,1.0
4391024,6,4632,13633,0.3397638084060735
4391024,25,9001,13633,0.6602361915939265
4391025,25,6488,6488,1.0
4391034,6,7438,7438,1.0
4391056,12,1928,1928,1.0
4391056,25,0,1928,0.0
4391059,12,2622,2622,1.0
4391061,12,1007,1007,1.0
4391062,12,497,497,1.0
4391064,25,627,627,1.0
4391066,12,128,3848,0.033264033264033266
4391066,25,3720,3848,0.9667359667359667
4391071,12,9668,10086,0.958556414832441
4391071,25,418,10086,0.04144358516755899
4391074,25,3998,3998,1.0
4391075,12,195,3612,0.05398671096345515
4391075,25,3417,3612,0.9460132890365448
4391076,12,2638,2638,1.0
4391078,12,3116,3982,0.7825213460572576
4391078,25,866,3982,0.21747865394274235
4391079,12,4323,4323,1.0
4391080,12,324,4781,0.06776824932022589
4391080,25,4457,4781,0.9322317506797742
4391081,12,6250,6250,1.0
4391082,12,2473,2473,1.0
4391083,25,5338,5338,1.0
4391084,25,997,997,1.0
4391085,12,6676,6676,1.0
4391085,25,0,6676,0.0
4391088,25,5333,5333,1.0
4391089,12,3943,3943,1.0
4391090,12,5574,5973,0.9331993972877951
4391090,25,399,5973,0.06680060271220492
4391094,12,3759,3759,1.0
4391095,12,3982,3982,1.0
4391098,25,6711,6711,1.0
4391099,25,4810,4810,1.0
4391103,25,3547,3547,1.0
4391104,12,866,6986,0.12396221013455483
4391104,25,6120,6986,0.8760377898654452
4391105,25,3816,3816,1.0
4391106,25,5081,5081,1.0
4391108,12,4091,4091,1.0
4391109,12,4831,4831,1.0
4391111,12,7183,8736,0.8222298534798534
4391111,25,1553,8736,0.17777014652014653
4391117,12,3893,3893,1.0
4391119,12,469,9892,0.04741205014152851
4391119,25,9423,9892,0.9525879498584715
4391120,12,6084,6084,1.0
4391126,25,5329,5329,1.0
4391127,25,2895,2895,1.0
4391132,25,6396,6396,1.0
4391133,12,4303,4303,1.0
4391133,25,0,4303,0.0
4391142,12,222,4436,0.05004508566275924
4391142,25,4214,4436,0.9499549143372408
4391146,25,6191,6191,1.0
4391149,6,0,10332,0.0
4391149,25,10332,10332,1.0
4391150,12,0,5190,0.0
4391150,25,5190,5190,1.0
4391151,25,6195,6195,1.0
4391153,25,5891,5891,1.0
4391154,12,2824,9924,0.2845626763401854
4391154,25,7100,9924,0.7154373236598146
4391165,12,1472,1472,1.0
4391167,12,77,4359,0.017664601972929572
4391167,25,4282,4359,0.9823353980270705
4391170,25,7602,7602,1.0
4391175,24,3627,11224,0.32314682822523166
4391175,25,7597,11224,0.6768531717747683
4391184,6,0,2984,0.0
4391184,25,2984,2984,1.0
4391186,12,3243,4653,0.696969696969697
4391186,25,1410,4653,0.30303030303030304
4391188,6,0,1030,0.0
4391188,25,1030,1030,1.0
4391189,12,180,5658,0.031813361611876985
4391189,25,5478,5658,0.968186638388123
4391197,24,706,12079,0.0584485470651544
4391197,25,11373,12079,0.9415514529348455
4391198,12,2606,3449,0.7555813279211365
4391198,25,843,3449,0.24441867207886345
4391199,12,30,1139,0.02633889376646181
4391199,24,0,1139,0.0
4391199,25,1109,1139,0.9736611062335382
4391206,12,6384,6384,1.0
4391207,12,2127,10316,0.20618456766188445
4391207,25,8189,10316,0.7938154323381156
4391208,12,8753,8753,1.0
4391211,25,7175,7175,1.0
4391227,25,11288,11288,1.0
4391236,12,31,2323,0.01334481274214378
4391236,25,2292,2323,0.9866551872578562
4391237,12,4166,4346,0.9585826046939715
4391237,25,180,4346,0.04141739530602853
4391238,25,7483,7483,1.0
4391241,12,1546,1546,1.0
4391241,25,0,1546,0.0
4391244,6,724,4138,0.1749637506041566
4391244,25,3414,4138,0.8250362493958434
4391251,25,12194,12194,1.0
4391255,25,9741,9741,1.0
4391257,12,0,6264,0.0
4391257,25,6264,6264,1.0
4391264,12,1407,7868,0.17882562277580072
4391264,25,6461,7868,0.8211743772241993
4391265,25,6721,6721,1.0
4391270,6,0,3071,0.0
4391270,25,3071,3071,1.0
4391271,6,0,9997,0.0
4391271,25,9997,9997,1.0
4391273,12,9608,9608,1.0
4391273,25,0,9608,0.0
4391277,12,18,4667,0.00385686736661667
4391277,25,4649,4667,0.9961431326333833
4391278,25,6705,6705,1.0
4391279,25,5965,5965,1.0
4391291,12,993,9492,0.10461441213653604
4391291,25,8499,9492,0.895385587863464
4391292,25,6701,6701,1.0
4391293,6,7,5924,0.0011816340310600946
4391293,25,5917,5924,0.9988183659689399
4391294,25,12245,12245,1.0
4391295,25,5201,5201,1.0
4391296,12,5639,5639,1.0
4391297,25,7908,7908,1.0
4391298,12,9679,9679,1.0
4391300,25,7209,7209,1.0
4391301,6,23,4289,0.005362555374213103
4391301,25,4266,4289,0.9946374446257868
4391311,6,0,4379,0.0
4391311,25,4379,4379,1.0
4391337,12,4525,4525,1.0
4391339,12,6237,6237,1.0
4391345,6,708,4795,0.14765380604796663
4391345,25,4087,4795,0.8523461939520334
4391346,25,3999,3999,1.0
4391347,25,8902,8902,1.0
4391348,12,1923,4025,0.4777639751552795
4391348,25,2102,4025,0.5222360248447205
4391351,12,551,551,1.0
4391351,25,0,551,0.0
4391352,6,2467,3224,0.7651985111662531
4391352,25,757,3224,0.2348014888337469
4391366,12,196,196,1.0
4391376,12,4548,4548,1.0
4391377,12,9308,11853,0.7852864253775416
4391377,25,2545,11853,0.21471357462245844
4391378,25,10895,10895,1.0
4391380,25,8957,8957,1.0
4391382,6,664,7427,0.08940352766931466
4391382,25,6763,7427,0.9105964723306853
4391388,24,4056,16667,0.24335513289734206
4391388,25,12611,16667,0.756644867102658
4391394,6,708,1427,0.49614576033637003
4391394,25,719,1427,0.50385423966363
4391404,6,68,3263,0.02083971805087343
4391404,25,3195,3263,0.9791602819491265
4391407,25,1027,1027,1.0
4391408,12,1626,1626,1.0
4391412,12,577,599,0.9632721202003339
4391412,25,22,599,0.03672787979966611
4391414,25,1235,1235,1.0
4391415,25,8860,8860,1.0
4391416,12,1538,1538,1.0
4391418,6,0,0,
4391418,25,0,0,
4391420,25,185,185,1.0
4391423,12,5076,5400,0.94
4391423,25,324,5400,0.06
4391424,12,294,588,0.5
4391424,25,294,588,0.5
4391427,6,266,289,0.9204152249134948
4391427,25,23,289,0.07958477508650519
4391430,12,288,641,0.44929797191887677
4391430,25,353,641,0.5507020280811232
4391431,6,7518,11510,0.6531711555169418
4391431,25,3992,11510,0.34682884448305823
4391434,12,355,355,1.0
4391436,25,4775,4775,1.0
4391437,25,3453,3453,1.0
4391439,25,1351,1351,1.0
4391440,25,8392,8392,1.0
4391441,6,1484,7984,0.18587174348697394
4391441,25,6500,7984,0.814128256513026
4391444,12,726,726,1.0
4391445,12,821,821,1.0
4391455,12,215,215,1.0
4391457,12,640,640,1.0
4391459,25,5122,5122,1.0
4391460,25,9605,9605,1.0
4391463,25,6936,6936,1.0
4391472,12,2492,2492,1.0
4391473,12,537,537,1.0
4391476,12,876,932,0.9399141630901288
4391476,25,56,932,0.060085836909871244
4391477,25,6456,6456,1.0
4391479,25,1496,1496,1.0
4391481,12,2650,2650,1.0
4391482,25,3701,3701,1.0
4391489,6,0,6307,0.0
4391489,25,6307,6307,1.0
4391490,25,2191,2191,1.0
4391491,25,1156,1156,1.0
4391501,25,3509,3509,1.0
4391504,6,4880,4880,1.0
4391514,6,0,0,
4391514,25,0,0,
4391515,6,93,116,0.8017241379310345
4391515,25,23,116,0.19827586206896552
4391518,25,2958,2958,1.0
4391543,12,0,0,
4391543,25,0,0,
4391544,12,182,182,1.0
4391547,24,306,549,0.5573770491803278
4391547,25,243,549,0.4426229508196721
4391549,12,0,0,
4391549,25,0,0,
4391550,12,298,298,1.0
4391555,12,903,1160,0.778448275862069
4391555,25,257,1160,0.22155172413793103
4391559,25,1694,1694,1.0
4391564,25,630,630,1.0
4391576,12,2829,4616,0.6128682842287695
4391576,25,1787,4616,0.3871317157712305
4391577,6,58,6140,0.009446254071661237
4391577,25,6082,6140,0.9905537459283388
4391578,6,322,6494,0.049584231598398525
4391578,25,6172,6494,0.9504157684016015
4391586,24,171,591,0.2893401015228426
4391586,25,420,591,0.7106598984771574
4391589,24,0,3488,0.0
4391589,25,3488,3488,1.0
4391594,12,288,288,1.0
4391594,25,0,288,0.0
4391597,12,2749,3932,0.6991353001017294
4391597,25,1183,3932,0.3008646998982706
4391603,6,0,14405,0.0
4391603,24,2589,14405,0.1797292606733773
4391603,25,11816,14405,0.8202707393266228
4391605,25,568,568,1.0
4391607,25,422,422,1.0
4391608,12,2038,2038,1.0
4391610,25,27,27,1.0
4391611,12,307,307,1.0
4391617,25,1008,1008,1.0
4391619,12,935,935,1.0
4391621,6,322,1449,0.2222222222222222
4391621,25,1127,1449,0.7777777777777778
4391622,12,40,2193,0.01823985408116735
4391622,24,0,2193,0.0
4391622,25,2153,2193,0.9817601459188326
4391623,12,88,176,0.5
4391623,25,88,176,0.5
4391625,12,23,23,1.0
4391627,25,1891,1891,1.0
4391628,12,0,0,
4391628,25,0,0,
4391631,25,2186,2186,1.0
4391633,12,390,390,1.0
4391639,25,11253,11253,1.0
4391641,12,3235,13306,0.243123402976101
4391641,25,10071,13306,0.756876597023899
4391642,6,708,9027,0.0784313725490196
4391642,25,8319,9027,0.9215686274509803
4391651,25,957,957,1.0
4391652,12,2096,3383,0.6195684303872303
4391652,25,1287,3383,0.38043156961276975
4391672,25,389,389,1.0
4391674,12,414,414,1.0
4391676,12,1378,1378,1.0
4391677,12,989,989,1.0
4391678,12,960,960,1.0
4391679,25,16,16,1.0
4391684,12,1495,1495,1.0
4392002,30,1713,1713,1.0
4392003,25,4339,4339,1.0
4392007,6,3701,3701,1.0
4392026,6,355,6998,0.05072877965132895
4392026,25,6643,6998,0.9492712203486711
4392027,30,7513,7513,1.0
4392028,6,5817,5817,1.0
4392029,6,9989,10043,0.9946231205814996
4392029,25,54,10043,0.005376879418500448
4392030,6,1719,11413,0.15061771663892054
4392030,30,9694,11413,0.8493822833610795
4392031,6,1661,18123,0.09165149257849142
4392031,30,16462,18123,0.9083485074215086
4392033,6,6851,9700,0.7062886597938144
4392033,30,2849,9700,0.29371134020618556
4392052,6,13410,16745,0.8008360704687967
4392052,25,27,16745,0.0016124216183935503
4392052,30,3308,16745,0.1975515079128098
4392055,25,4516,4516,1.0
4392058,6,369,2792,0.13216332378223497
4392058,25,2423,2792,0.8678366762177651
4392100,6,3020,3020,1.0
4392112,6,5831,5831,1.0
4392134,30,4585,4585,1.0
4392143,6,1081,5065,0.21342546890424482
4392143,30,3984,5065,0.7865745310957551
4392145,6,2088,9310,0.2242749731471536
4392145,30,7222,9310,0.7757250268528464
4392147,6,5664,8508,0.6657263751763046
4392147,30,2844,8508,0.3342736248236953
4392148,6,202,11349,0.01779892501541986
4392148,25,11147,11349,0.9822010749845801
4392158,6,5438,8054,0.6751924509560466
4392158,25,2559,8054,0.31773032033772036
4392158,33,57,8054,0.007077228706232928
4392161,6,11211,12156,0.9222606120434353
4392161,25,215,12156,0.017686739058900953
4392161,30,730,12156,0.06005264889766371
4392168,6,6181,16826,0.3673481516700345
4392168,30,10645,16826,0.6326518483299656
4392169,6,188,8507,0.022099447513812154
4392169,30,8319,8507,0.9779005524861878
4392171,6,6333,6960,0.9099137931034482
4392171,25,627,6960,0.09008620689655172
4392173,6,2818,7932,0.35526979324256175
4392173,25,5114,7932,0.6447302067574382
4392174,6,6733,7478,0.9003744316662209
4392174,30,745,7478,0.09962556833377909
4392180,6,126,5174,0.02435253189022033
4392180,30,4526,5174,0.874758407421724
4392180,33,522,5174,0.10088906068805566
4392181,6,6509,6868,0.9477285963890507
4392181,25,359,6868,0.05227140361094933
4392190,25,5034,5034,1.0
4392205,6,5187,5289,0.9807146908678389
4392205,30,102,5289,0.019285309132161088
4392210,6,906,6717,0.13488164359088878
4392210,30,5811,6717,0.8651183564091112
4392217,6,19,9802,0.0019383799224648032
4392217,25,9783,9802,0.9980616200775352
4392219,6,3193,8983,0.3554491817878214
4392219,25,5790,8983,0.6445508182121785
4392220,6,7120,7646,0.9312058592728224
4392220,25,526,7646,0.06879414072717761
4392221,6,10197,12738,0.8005181347150259
