year,new_district_id,candidate,party,estimated_votes
2016,11,Arrington,REPUBLICAN,21.485872829241586
2016,11,Bonar,LIBERTARIAN,1.052834594707209
2016,11,Lawson,OTHER,0.32792946449949595
2016,19,Arrington,REPUBLICAN,35329.66150100453
2016,19,Bonar,LIBERTARIAN,3978.973245943181
2016,19,Lawson,OTHER,1966.847381884907
2016,25,Arrington,REPUBLICAN,131.8526261662346
2016,25,Bonar,LIBERTARIAN,7.973919462110949
2016,25,Lawson,OTHER,2.8246886505936075
2018,11,ARRINGTON,REPUBLICAN,20.97234091003267
2018,11,LEVARIO,DEMOCRAT,1.964606984649351
2018,19,ARRINGTON,REPUBLICAN,31070.77766036303
2018,19,LEVARIO,DEMOCRAT,9183.165166760384
2018,25,ARRINGTON,REPUBLICAN,126.2499987269369
2018,25,LEVARIO,DEMOCRAT,13.870226254968031
2020,11,ARRINGTON,REPUBLICAN,28.513035661552117
2020,11,BURNES,LIBERTARIAN,0.6744520672551841
2020,11,WATSON,DEMOCRAT,1.9127535247858032
2020,19,ARRINGTON,REPUBLICAN,40316.32106267931
2020,19,BURNES,LIBERTARIAN,1378.9581173019067
2020,19,WATSON,DEMOCRAT,12197.102206672445
2020,25,ARRINGTON,REPUBLICAN,167.16590165913829
2020,25,BURNES,LIBERTARIAN,3.367430630838082
2020,25,WATSON,DEMOCRAT,17.985039802767233
2022,11,ARRINGTON,REPUBLICAN,25.269446344262143
2022,11,LEWIS,OTHER,1.538753342766051
2022,19,ARRINGTON,REPUBLICAN,30724.421579136873
2022,19,LEWIS,OTHER,7820.307426280527
2022,25,ARRINGTON,REPUBLICAN,137.30897451886787
2022,25,LEWIS,OTHER,13.153820376707195
2024,11,ARRINGTON,REPUBLICAN,34.92905249059365
2024,11,JOHNSON,LIBERTARIAN,0.9676454535968622
2024,11,LEWIS,OTHER,0.8868293546950449
2024,19,ARRINGTON,REPUBLICAN,42579.98803477834
2024,19,JOHNSON,LIBERTARIAN,4551.5374839667675
2024,19,LEWIS,OTHER,5734.866756336237
2024,25,ARRINGTON,REPUBLICAN,186.08291273106659
2024,25,JOHNSON,LIBERTARIAN,8.494870579636306
2024,25,LEWIS,OTHER,9.246414309067795
