old_precinct_id,new_district_id,fragment_population,precinct_total,weight
4410101,19,8791,8791,1.0
4410102,19,5748,5748,1.0
4410103,19,5285,5285,1.0
4410104,19,4190,4190,1.0
4410105,19,8862,8862,1.0
4410106,19,5943,5943,1.0
4410107,19,2006,2006,1.0
4410108,19,4827,4827,1.0
4410109,19,770,770,1.0
4410110,11,9,139,0.06474820143884892
4410110,19,130,139,0.935251798561151
4410201,19,5347,5347,1.0
4410202,19,8426,8426,1.0
4410203,19,10461,10461,1.0
4410204,19,3461,3461,1.0
4410204,25,0,3461,0.0
4410205,19,8947,8947,1.0
4410206,19,4619,4619,1.0
4410207,19,615,615,1.0
4410301,19,6538,6538,1.0
4410302,19,4760,4760,1.0
4410303,11,9,4499,0.0020004445432318294
4410303,19,4478,4499,0.9953322960657924
4410303,25,12,4499,0.0026672593909757725
4410304,19,9258,9258,1.0
4410305,19,7473,7473,1.0
4410306,19,11175,11175,1.0
4410307,19,10530,10530,1.0
4410308,19,3890,3890,1.0
4410401,19,7045,7045,1.0
4410402,19,6921,6921,1.0
4410403,19,7790,7790,1.0
4410404,19,4956,4956,1.0
4410405,19,5594,5594,1.0
4410406,19,6568,6568,1.0
4410407,19,4430,4489,0.9868567609712631
4410407,25,59,4489,0.013143239028736913
4410408,19,6936,7206,0.9625312239800167
4410408,25,270,7206,0.03746877601998335
4410409,11,58,1768,0.032805429864253395
4410409,19,1561,1768,0.8829185520361991
4410409,25,149,1768,0.08427601809954752
