year,new_district_id,candidate,party,estimated_votes
2016,11,Conaway,REPUBLICAN,29904.87401652561
2016,11,Landholt,LIBERTARIAN,4267.372326406652
2016,23,Conaway,REPUBLICAN,8.12598347439243
2016,23,Landholt,LIBERTARIAN,0.6276735933483134
2018,11,CONAWAY,REPUBLICAN,25939.83172631729
2018,11,LEEDER,DEMOCRAT,8052.010810933321
2018,11,SMITH,LIBERTARIAN,492.86692903443054
2018,23,CONAWAY,REPUBLICAN,8.168273682710925
2018,23,LEEDER,DEMOCRAT,0.9891890666787544
2018,23,SMITH,LIBERTARIAN,0.13307096556949238
2020,11,CODY,LIBERTARIAN,1062.7500053138351
2020,11,HOGG,DEMOCRAT,11113.861569281782
2020,11,PFLUGER,REPUBLICAN,32372.147607711435
2020,23,CODY,LIBERTARIAN,0.24999468616489895
2020,23,HOGG,DEMOCRAT,1.1384307182179523
2020,23,PFLUGER,REPUBLICAN,9.852392288562502
2022,11,PFLUGER,REPUBLICAN,26199.15000723394
2022,23,PFLUGER,REPUBLICAN,8.84999276606099
2024,11,PFLUGER,REPUBLICAN,37850.408538349744
2024,23,PFLUGER,REPUBLICAN,11.591461650258777
