year,new_district_id,candidate,party,estimated_votes
2016,10,Cadien,DEMOCRAT,7579.658602232015
2016,10,Diaz,OTHER,407.76342642220385
2016,10,Doggett,DEMOCRAT,122.91304347826086
2016,10,Flores,REPUBLICAN,4179.909595749663
2016,10,Kelsey,LIBERTARIAN,867.4356440414982
2016,10,Loewe,LIBERTARIAN,965.0640866264382
2016,10,Matta,DEMOCRAT,8335.543220728641
2016,10,McCaul,REPUBLICAN,8107.3020890523885
2016,10,Narvaiz,REPUBLICAN,16.684335914234662
2016,10,Patterson,LIBERTARIAN,876.8637754911161
2016,10,Schneiderman,LIBERTARIAN,2948.5600200961467
2016,10,Smith,LIBERTARIAN,6.275759380583681
2016,10,Smith,REPUBLICAN,7614.028772560701
2016,10,Thomas,DEMOCRAT,25937.934650082174
2016,10,Trimble,OTHER,3.8266825491363905
2016,10,Wakely,DEMOCRAT,9363.579779982838
2016,10,Williams,REPUBLICAN,35473.88370252608
2016,11,Cadien,DEMOCRAT,10125.228495985311
2016,11,Flores,REPUBLICAN,8980.835549875077
2016,11,Kelsey,LIBERTARIAN,1192.5053882370387
2016,11,Matta,DEMOCRAT,13806.779415077996
2016,11,McCaul,REPUBLICAN,10634.858439441148
2016,11,Patterson,LIBERTARIAN,1449.7569614698652
2016,11,Schneiderman,LIBERTARIAN,166.93653377362017
2016,11,Thomas,DEMOCRAT,976.9713008425447
2016,11,Williams,REPUBLICAN,1862.7385576721335
2016,17,Cadien,DEMOCRAT,199.09471009282618
2016,17,Flores,REPUBLICAN,383.8467814648769
2016,17,Kelsey,LIBERTARIAN,24.341688079327138
2016,17,Matta,DEMOCRAT,386.5716789215044
2016,17,McCaul,REPUBLICAN,282.6303345017993
2016,17,Patterson,LIBERTARIAN,41.09806332303471
2016,17,Schneiderman,LIBERTARIAN,32.10194243069403
2016,17,Thomas,DEMOCRAT,175.58427272048718
2016,17,Williams,REPUBLICAN,363.4680878389513
2016,21,Schneiderman,LIBERTARIAN,19.49832082200941
2016,21,Thomas,DEMOCRAT,161.6009153535364
2016,21,Williams,REPUBLICAN,218.49088413598383
2016,27,Cadien,DEMOCRAT,2079.3751791163104
2016,27,Diaz,OTHER,254.1890499021096
2016,27,Doggett,DEMOCRAT,3994.404447494552
2016,27,Flores,REPUBLICAN,30.30244839174268
2016,27,Kelsey,LIBERTARIAN,205.62499492567042
2016,27,Loewe,LIBERTARIAN,367.7694280637742
2016,27,Matta,DEMOCRAT,15.719395103216515
2016,27,McCaul,REPUBLICAN,1271.531533844403
2016,27,Narvaiz,REPUBLICAN,1372.285943013644
2016,27,Patterson,LIBERTARIAN,2.4620739318290927
2016,27,Schneiderman,LIBERTARIAN,453.37629335043084
2016,27,Smith,LIBERTARIAN,216.47053287858688
2016,27,Smith,REPUBLICAN,3058.8865072627286
2016,27,Thomas,DEMOCRAT,4771.688796948645
2016,27,Trimble,OTHER,112.7241259355997
2016,27,Wakely,DEMOCRAT,3920.2227161460373
2016,27,Williams,REPUBLICAN,4029.491523839021
2016,31,Schneiderman,LIBERTARIAN,18.777385115085238
2016,31,Thomas,DEMOCRAT,99.71729650348408
2016,31,Williams,REPUBLICAN,191.55504419199468
2016,37,Cadien,DEMOCRAT,46140.64301257354
2016,37,Diaz,OTHER,3028.0475236756865
2016,37,Doggett,DEMOCRAT,40984.68250902719
2016,37,Flores,REPUBLICAN,4095.1056245186405
2016,37,Kelsey,LIBERTARIAN,4369.092284716467
2016,37,Loewe,LIBERTARIAN,4147.166485309788
2016,37,Matta,DEMOCRAT,9207.386290168648
2016,37,McCaul,REPUBLICAN,18360.67760316026
2016,37,Narvaiz,REPUBLICAN,8217.029721072122
2016,37,Patterson,LIBERTARIAN,965.8191257841544
2016,37,Schneiderman,LIBERTARIAN,3026.749504412013
2016,37,Smith,LIBERTARIAN,2250.253707740829
2016,37,Smith,REPUBLICAN,17572.084720176572
2016,37,Thomas,DEMOCRAT,44212.502767549115
2016,37,Trimble,OTHER,1536.449191515264
2016,37,Wakely,DEMOCRAT,47204.197503871124
2016,37,Williams,REPUBLICAN,13645.372199795844
2018,10,CHURCHMAN,LIBERTARIAN,355.50277006189333
2018,10,DOGGETT,DEMOCRAT,133.93388921977368
2018,10,FLORES,REPUBLICAN,3440.1091745594053
2018,10,KENNEDY,DEMOCRAT,9537.61346868795
2018,10,KOPSER,DEMOCRAT,12365.453975202929
2018,10,LINDSEY,LIBERTARIAN,1248.4793378665715
