old_precinct_id,new_district_id,fragment_population,weight
4530101,27,139,0.006978962695185018
4530101,37,19778,0.993021037304815
4530102,37,5854,1.0
4530103,37,3743,1.0
4530104,37,5050,1.0
4530105,10,2369,0.06809036560128766
4530105,11,228,0.006553230627730513
4530105,27,14260,0.40986433662911015
4530105,37,17935,0.5154920671418717
4530106,10,3113,0.152747791952895
4530106,11,377,0.018498527968596662
4530106,27,13578,0.6662414131501472
4530106,37,3312,0.16251226692836113
4530107,10,2134,0.5345691382765531
4530107,11,763,0.19113226452905813
4530107,17,393,0.09844689378757515
4530107,27,702,0.17585170340681364
4530108,10,0,0.0
4530108,37,5617,1.0
4530109,10,0,0.0
4530109,37,6055,1.0
4530110,11,16415,1.0
4530111,10,5511,0.2834001851280469
4530111,11,0,0.0
4530111,37,13935,0.7165998148719531
4530112,10,5262,0.32095150960658736
4530112,11,0,0.0
4530112,37,11133,0.6790484903934126
4530113,10,22229,0.6970305101752846
4530113,11,3124,0.0979586717255652
4530113,37,6538,0.20501081809915023
4530114,27,627,0.7683823529411765
4530114,37,189,0.23161764705882354
4530115,27,8,1.0
4530115,37,0,0.0
4530116,37,741,1.0
4530117,37,16601,1.0
4530118,37,6219,1.0
4530119,27,168,0.5
4530119,37,168,0.5
4530120,27,171,0.023842721695482433
4530120,37,7001,0.9761572783045176
4530121,37,5544,1.0
4530122,37,10279,1.0
4530123,10,380,0.020245071923281833
4530123,11,18390,0.9797549280767182
4530124,10,270,0.0234884732492388
4530124,37,11225,0.9765115267507612
4530125,37,135,1.0
4530126,37,12332,1.0
4530127,37,0,0.0
4530128,37,1512,1.0
4530129,37,11748,1.0
4530130,37,9325,1.0
4530131,37,409,1.0
4530132,37,9100,1.0
4530133,37,7893,1.0
4530134,37,444,1.0
4530135,37,14255,1.0
4530136,10,531,0.06449653832138953
4530136,11,7702,0.9355034616786104
4530137,11,21894,0.9015441630636195
4530137,17,2391,0.09845583693638048
4530138,27,323,1.0
4530138,37,0,0.0
4530139,37,21209,1.0
