old_precinct_id,new_district_id,fragment_population,precinct_total,weight
4530101,27,139,19798,0.007020911203151833
4530101,37,19659,19798,0.9929790887968482
4530102,37,5884,5884,1.0
4530103,37,3743,3743,1.0
4530104,37,5050,5050,1.0
4530105,10,2463,34563,0.07126117524520441
4530105,11,228,34563,0.006596649596389202
4530105,27,14260,34563,0.4125799265110089
4530105,37,17612,34563,0.5095622486473975
4530106,10,3124,20402,0.15312224291736104
4530106,11,388,20402,0.019017743358494266
4530106,27,13578,20402,0.6655229879423586
4530106,37,3312,20402,0.1623370257817861
4530107,10,2221,4166,0.5331253000480077
4530107,11,763,4166,0.1831493038886222
4530107,17,393,4166,0.0943350936149784
4530107,27,789,4166,0.18939030244839175
4530108,10,0,5765,0.0
4530108,37,5765,5765,1.0
4530109,10,0,6055,0.0
4530109,37,6055,6055,1.0
4530110,11,15948,15948,1.0
4530111,10,5491,19010,0.2888479747501315
4530111,11,0,19010,0.0
4530111,37,13519,19010,0.7111520252498685
4530112,10,5115,16101,0.31768213154462455
4530112,11,0,16101,0.0
4530112,37,10986,16101,0.6823178684553755
4530113,10,22181,31856,0.696289552988448
4530113,11,3097,31856,0.09721873430436967
4530113,37,6578,31856,0.2064917127071823
4530114,27,627,816,0.7683823529411765
4530114,37,189,816,0.23161764705882354
4530115,27,8,8,1.0
4530115,37,0,8,0.0
4530116,37,741,741,1.0
4530117,37,16601,16601,1.0
4530118,37,6080,6080,1.0
4530119,27,102,204,0.5
4530119,37,102,204,0.5
4530120,27,171,6868,0.024898078043098428
4530120,37,6697,6868,0.9751019219569016
4530121,37,7630,7630,1.0
4530122,37,10356,10356,1.0
4530123,10,388,18794,0.02064488666595722
4530123,11,18398,18794,0.9789294455677344
4530123,27,8,18794,0.0004256677663083963
4530124,10,270,11510,0.023457862728062554
4530124,37,11240,11510,0.9765421372719374
4530125,37,135,135,1.0
4530126,37,12385,12385,1.0
4530127,37,0,0,
4530128,37,1496,1496,1.0
4530129,37,11847,11847,1.0
4530130,37,9445,9445,1.0
4530131,37,42,42,1.0
4530132,37,9106,9106,1.0
4530133,37,7893,7893,1.0
4530134,37,320,320,1.0
4530135,37,14122,14122,1.0
4530136,10,397,8410,0.04720570749108204
4530136,11,8013,8410,0.952794292508918
4530137,11,21861,24219,0.9026384243775548
4530137,17,2358,24219,0.09736157562244518
4530138,27,323,323,1.0
4530138,37,0,323,0.0
4530139,37,21346,21346,1.0
4530140,37,5787,5787,1.0
4530141,37,2724,2724,1.0
4530142,37,6200,6200,1.0
4530145,11,7507,7507,1.0
4530146,10,514,8425,0.06100890207715134
4530146,11,7911,8425,0.9389910979228486
4530148,10,63,13665,0.004610318331503842
4530148,11,13602,13665,0.9953896816684962
4530149,37,5480,5480,1.0
4530150,11,4947,4947,1.0
4530151,37,7710,7710,1.0
4530152,10,0,5822,0.0
4530152,37,5822,5822,1.0
4530153,10,1997,15937,0.12530589194955136
4530153,37,13940,15937,0.8746941080504487
4530154,10,892,9682,0.09212972526337533
4530154,37,8790,9682,0.9078702747366246
4530156,37,18148,18148,1.0
4530160,10,3565,12978,0.27469563877330866
4530160,11,9413,12978,0.7253043612266913
4530161,11,6968,8236,0.8460417678484702
4530161,17,1268,8236,0.15395823215152987
4530163,10,691,4645,0.14876210979547902
4530163,11,3068,4645,0.6604951560818084
4530163,17,886,4645,0.1907427341227126
4530164,37,13540,13540,1.0
4530200,37,12070,12070,1.0
4530202,37,7694,7694,1.0
4530203,10,9333,12291,0.7593360995850622
4530203,11,2952,12291,0.2401757383451306
4530203,37,6,12291,0.000488162069807176
4530205,37,9019,9019,1.0
4530206,10,4299,12094,0.3554655200926079
4530206,37,7795,12094,0.6445344799073921
4530207,10,13616,19293,0.7057481988285906
4530207,11,3746,19293,0.1941636863110973
4530207,37,1931,19293,0.10008811486031204
4530208,10,4434,19014,0.23319659198485326
4530208,37,14580,19014,0.7668034080151467
4530209,37,9606,9606,1.0
4530210,10,4009,4131,0.9704671992253692
4530210,37,122,4131,0.02953280077463084
4530211,37,7204,7204,1.0
4530212,10,6833,6833,1.0
4530212,37,0,6833,0.0
4530213,10,0,0,
4530213,37,0,0,
4530214,10,932,8589,0.10851088601699849
4530214,37,7657,8589,0.8914891139830016
4530215,10,4206,12778,0.3291594928783847
4530215,11,8572,12778,0.6708405071216152
4530215,37,0,12778,0.0
4530216,10,12171,22220,0.5477497749774978
4530216,11,5497,22220,0.24738973897389738
4530216,37,4552,22220,0.20486048604860485
4530217,37,12626,12626,1.0
4530218,10,92,17801,0.005168248974776698
4530218,37,17709,17801,0.9948317510252233
4530219,11,7694,7694,1.0
4530220,10,2397,10416,0.2301267281105991
4530220,37,8019,10416,0.7698732718894009
4530221,10,2022,2022,1.0
4530221,37,0,2022,0.0
4530222,37,11608,11608,1.0
4530223,37,6128,6128,1.0
4530224,37,6151,6151,1.0
4530225,10,643,10044,0.06401831939466349
4530225,11,9401,10044,0.9359816806053365
4530226,10,2978,14607,0.20387485452180462
4530226,37,11629,14607,0.7961251454781954
4530227,10,11056,17092,0.6468523285747718
4530227,37,6036,17092,0.3531476714252282
4530228,10,1571,7134,0.2202130641996075
4530228,37,5563,7134,0.7797869358003925
4530229,10,3422,12347,0.2771523446991172
4530229,11,8925,12347,0.7228476553008828
4530231,37,6499,6499,1.0
4530232,10,13996,13996,1.0
4530233,10,10655,14815,0.7192035099561256
4530233,11,1440,14815,0.0971987850151873
4530233,37,2720,14815,0.18359770502868714
4530234,10,6026,6260,0.9626198083067092
4530234,11,234,6260,0.03738019169329074
4530235,37,6288,6288,1.0
4530236,37,7648,7648,1.0
4530237,10,535,5055,0.10583580613254204
4530237,37,4520,5055,0.8941641938674579
4530238,37,7358,7358,1.0
4530239,37,4944,4944,1.0
4530240,37,3491,3491,1.0
4530241,37,4829,4829,1.0
4530242,37,12931,12931,1.0
4530243,37,4050,4050,1.0
4530244,10,12149,12149,1.0
4530245,10,5831,7707,0.7565849227974568
4530245,11,1876,7707,0.24341507720254316
4530246,37,4627,4627,1.0
4530247,37,4931,4931,1.0
4530248,37,8261,8261,1.0
4530249,37,7340,7340,1.0
4530250,10,7872,13289,0.5923696290164798
4530250,37,5417,13289,0.40763037098352023
4530251,10,5661,6043,0.9367863643885488
4530251,37,382,6043,0.06321363561145127
4530252,37,4156,4156,1.0
4530253,10,1259,10195,0.12349190779794017
4530253,37,8936,10195,0.8765080922020598
4530254,10,9827,15642,0.6282444700166219
4530254,11,1988,15642,0.1270937220304309
4530254,37,3827,15642,0.2446618079529472
4530256,10,4197,5328,0.7877252252252253
4530256,37,1131,5328,0.21227477477477477
4530258,37,10050,10050,1.0
4530259,10,846,5584,0.15150429799426934
4530259,37,4738,5584,0.8484957020057307
4530260,37,9604,9604,1.0
4530262,37,10535,10535,1.0
4530263,10,1384,7946,0.1741756858796879
4530263,37,6562,7946,0.8258243141203121
4530266,10,1982,3632,0.545704845814978
4530266,37,1650,3632,0.45429515418502203
4530267,10,2488,8106,0.30693313594868
4530267,37,5618,8106,0.69306686405132
4530268,37,5264,5264,1.0
4530273,10,265,6970,0.03802008608321377
4530273,37,6705,6970,0.9619799139167863
4530274,37,7394,7394,1.0
4530275,37,7706,7706,1.0
4530277,37,18753,18753,1.0
4530301,10,0,5402,0.0
4530301,37,5402,5402,1.0
4530302,27,10032,13908,0.7213114754098361
4530302,37,3876,13908,0.2786885245901639
4530303,10,2652,20388,0.13007651559741024
4530303,21,578,20388,0.028350009809691976
4530303,27,11809,20388,0.5792132627035511
4530303,37,5349,20388,0.26236021188934666
4530304,27,5427,14472,0.375
4530304,37,9045,14472,0.625
4530305,10,624,1248,0.5
4530305,37,624,1248,0.5
4530306,10,7591,7591,1.0
4530307,10,3463,3463,1.0
4530307,37,0,3463,0.0
4530308,10,12345,12570,0.9821002386634845
4530308,11,135,12570,0.010739856801909307
4530308,21,90,12570,0.007159904534606206
4530309,27,1378,9106,0.1513287942016253
4530309,37,7728,9106,0.8486712057983747
4530310,27,15633,20612,0.7584416844556569
4530310,37,4979,20612,0.2415583155443431
4530311,10,220,14663,0.015003750937734433
4530311,37,14443,14663,0.9849962490622656
4530312,10,4374,4374,1.0
4530313,37,5674,5674,1.0
4530314,10,17178,23370,0.7350449293966624
4530314,37,6192,23370,0.2649550706033376
4530315,27,8502,12461,0.6822887408715191
4530315,37,3959,12461,0.31771125912848086
4530316,10,12973,14300,0.9072027972027972
4530316,21,1102,14300,0.07706293706293706
4530316,27,225,14300,0.015734265734265736
4530317,10,8088,8837,0.9152427294330655
4530317,37,749,8837,0.08475727056693448
4530318,10,4129,4129,1.0
4530319,10,4529,4529,1.0
4530320,10,5069,5069,1.0
4530321,10,126,3126,0.04030710172744722
4530321,37,3000,3126,0.9596928982725528
4530323,10,1769,8255,0.21429436705027255
4530323,37,6486,8255,0.7857056329497274
4530324,10,15024,15024,1.0
4530325,10,4804,9802,0.4901040603958376
4530325,37,4998,9802,0.5098959396041625
4530326,10,4923,10885,0.4522737712448323
4530326,11,5435,10885,0.49931097841065686
4530326,37,527,10885,0.048415250344510795
4530327,10,7988,14626,0.5461506905510735
4530327,11,1195,14626,0.08170381512375222
4530327,37,5443,14626,0.37214549432517435
4530328,10,7397,11019,0.6712950358471731
4530328,11,2425,11019,0.22007441691623558
