year,new_district_id,candidate,party,estimated_votes
2018,10,BRADY,REPUBLICAN,4202.543843535577
2018,10,DAVID,DEMOCRAT,895.5415743692258
2018,10,DUNCAN,LIBERTARIAN,42.975903614457835
2018,36,BRADY,REPUBLICAN,4.456156464422713
2018,36,DAVID,DEMOCRAT,2.458425630774218
2018,36,DUNCAN,LIBERTARIAN,0.024096385542168672
2020,10,BRADY,REPUBLICAN,5537.874997748842
2020,10,DUNCAN,LIBERTARIAN,79.91051200316964
2020,10,HERNANDEZ,DEMOCRAT,1181.8570065013419
2020,36,BRADY,REPUBLICAN,5.1250022511570945
2020,36,DUNCAN,LIBERTARIAN,0.08948799683037081
2020,36,HERNANDEZ,DEMOCRAT,2.1429934986583103
2022,10,SESSIONS,REPUBLICAN,4424.636140976461
2022,10,WOODS,DEMOCRAT,818.3640751346193
2022,36,SESSIONS,REPUBLICAN,6.363859023538098
2022,36,WOODS,DEMOCRAT,1.6359248653808056
2024,10,LORENZEN,DEMOCRAT,1074.9395969528337
2024,10,SESSIONS,REPUBLICAN,6065.959857366686
2024,36,LORENZEN,DEMOCRAT,2.0604030471662433
2024,36,SESSIONS,REPUBLICAN,5.040142633313523
