old_precinct_id,new_district_id,fragment_population,precinct_total,weight
4550001,10,1537,1537,1.0
4550002,10,1321,1321,1.0
4550003,10,842,842,1.0
4550004,10,522,522,1.0
4550005,10,1421,1421,1.0
4550006,10,523,523,1.0
4550007,10,405,405,1.0
4550008,10,758,758,1.0
4550009,10,988,996,0.9919678714859438
4550009,36,8,996,0.008032128514056224
4550010,10,657,657,1.0
4550011,10,2818,2818,1.0
4550012,10,260,260,1.0
4550014,10,1319,1319,1.0
4550015,10,229,229,1.0
4550016,10,1402,1402,1.0
4550017,10,1556,1556,1.0
4550018,10,212,223,0.9506726457399103
4550018,36,11,223,0.04932735426008968
4550019,10,2520,2520,1.0
4550020,10,324,324,1.0
4550021,10,1415,1415,1.0
