old_precinct_id,new_district_id,fragment_population,precinct_total,weight
4570001,10,6,1577,0.003804692454026633
4570001,36,1571,1577,0.9961953075459734
4570002,36,2690,2690,1.0
4570003,36,2543,2543,1.0
4570004,10,25,2568,0.009735202492211837
4570004,36,2543,2568,0.9902647975077882
4570005,36,1971,1971,1.0
4570006,36,475,475,1.0
4570007,10,90,966,0.09316770186335403
4570007,36,876,966,0.906832298136646
4570008,36,635,635,1.0
4570009,36,1278,1278,1.0
4570010,36,1934,1934,1.0
4570011,36,371,371,1.0
4570013,36,1425,1425,1.0
4570014,36,2557,2557,1.0
4570015,36,1810,1810,1.0
4570016,36,1720,1720,1.0
4570017,36,3478,3478,1.0
4570018,10,0,2734,0.0
4570018,36,2734,2734,1.0
