year,new_district_id,candidate,party,estimated_votes
2016,1,Gohmert,REPUBLICAN,0.0
2016,1,Gray,LIBERTARIAN,0.0
2016,1,McKellar,DEMOCRAT,0.0
2016,1,Ratcliffe,REPUBLICAN,600.0644687789875
2016,1,Wommack,LIBERTARIAN,43.409486443365026
2016,3,Ratcliffe,REPUBLICAN,0.0
2016,3,Wommack,LIBERTARIAN,0.0
2016,32,Gohmert,REPUBLICAN,3793.0
2016,32,Gray,LIBERTARIAN,93.0
2016,32,McKellar,DEMOCRAT,790.0
2016,32,Ratcliffe,REPUBLICAN,8903.935531221014
2016,32,Wommack,LIBERTARIAN,666.590513556635
2018,1,ASHBY,LIBERTARIAN,7.141547983566946
2018,1,CALLAWAY,LIBERTARIAN,0.0
2018,1,GOHMERT,REPUBLICAN,0.0
2018,1,KRANTZ,DEMOCRAT,84.48721954659301
2018,1,MCKELLAR,DEMOCRAT,0.0
2018,1,RATCLIFFE,REPUBLICAN,517.3618326316437
2018,3,ASHBY,LIBERTARIAN,0.0
2018,3,KRANTZ,DEMOCRAT,0.0
2018,3,RATCLIFFE,REPUBLICAN,0.0
2018,32,ASHBY,LIBERTARIAN,125.85845201643306
2018,32,CALLAWAY,LIBERTARIAN,60.0
2018,32,GOHMERT,REPUBLICAN,3202.0
2018,32,KRANTZ,DEMOCRAT,1404.512780453407
2018,32,MCKELLAR,DEMOCRAT,754.0
2018,32,RATCLIFFE,REPUBLICAN,7764.638167368356
2020,1,ANTONELLI,LIBERTARIAN,12.779988479599478
2020,1,FALLON,REPUBLICAN,680.0971100777721
2020,1,FOSTER,DEMOCRAT,100.05736453072677
2020,1,GILBERT,DEMOCRAT,0.0
2020,1,GOHMERT,REPUBLICAN,0.0
2020,3,ANTONELLI,LIBERTARIAN,0.0
2020,3,FALLON,REPUBLICAN,0.0
2020,3,FOSTER,DEMOCRAT,0.0
2020,32,ANTONELLI,LIBERTARIAN,191.22001152040053
2020,32,FALLON,REPUBLICAN,10552.902889922227
2020,32,FOSTER,DEMOCRAT,1664.9426354692732
2020,32,GILBERT,DEMOCRAT,1015.0
2020,32,GOHMERT,REPUBLICAN,4225.0
2022,1,GOODEN,REPUBLICAN,219.18550845558366
2022,1,HALE,LIBERTARIAN,4.187967601125303
2022,1,HILL,DEMOCRAT,32.302630779628124
2022,1,JEFFERSON,DEMOCRAT,42.20366725469036
2022,1,MORAN,REPUBLICAN,339.4324121258179
2022,1,TORRES,OTHER,0.07905289287760169
2022,3,GOODEN,REPUBLICAN,0.0
2022,3,HALE,LIBERTARIAN,0.0
2022,3,HILL,DEMOCRAT,0.0
2022,32,GOODEN,REPUBLICAN,4133.814491544416
2022,32,HALE,LIBERTARIAN,82.81203239887469
2022,32,HILL,DEMOCRAT,579.6973692203719
2022,32,JEFFERSON,DEMOCRAT,1235.7963327453097
2022,32,MORAN,REPUBLICAN,7507.567587874182
2022,32,TORRES,OTHER,0.9209471071223984
2024,1,GOODEN,REPUBLICAN,306.0501214799699
2024,1,MORAN,REPUBLICAN,476.5660435929427
2024,1,TORRES,DEMOCRAT,47.9994100289073
2024,3,GOODEN,REPUBLICAN,0.0
2024,3,TORRES,DEMOCRAT,0.0
2024,32,GOODEN,REPUBLICAN,5732.94987852003
2024,32,MORAN,REPUBLICAN,10787.433956407058
2024,32,TORRES,DEMOCRAT,793.0005899710927
