old_precinct_id,new_district_id,fragment_population,precinct_total,weight
4590001,1,111,4658,0.02382996994418205
4590001,32,4547,4658,0.9761700300558179
4590002,1,825,6423,0.12844465203176086
4590002,32,5598,6423,0.8715553479682392
4590003,1,501,3598,0.13924402445803225
4590003,32,3097,3598,0.8607559755419678
4590004,1,531,3645,0.145679012345679
4590004,32,3114,3645,0.854320987654321
4590005,32,2253,2253,1.0
4590006,1,414,5237,0.07905289287760169
4590006,32,4823,5237,0.9209471071223984
4590007,1,391,6422,0.060884459669884775
4590007,3,0,6422,0.0
4590007,32,6031,6422,0.9391155403301152
4590008,3,0,2218,0.0
4590008,32,2218,2218,1.0
4590009,1,0,3452,0.0
4590009,32,3452,3452,1.0
4590010,32,5417,5417,1.0
4590011,1,0,1671,0.0
4590011,32,1671,1671,1.0
4590012,32,2102,2102,1.0
4590013,32,1522,1522,1.0
4590014,32,1641,1641,1.0
4590015,32,3931,3931,1.0
4590016,1,311,3933,0.0790744978387999
4590016,32,3622,3933,0.9209255021612001
4590017,32,4644,4644,1.0
4590018,32,1573,1573,1.0
4590020,32,577,577,1.0
