year,new_district_id,candidate,party,estimated_votes
2016,11,Corvalan,LIBERTARIAN,0.46846592445280255
2016,11,Gallego,DEMOCRAT,2.9432164336483635
2016,11,Hurd,REPUBLICAN,14.051153876194881
2016,23,Corvalan,LIBERTARIAN,45.53153407554719
2016,23,Gallego,DEMOCRAT,304.05678356635167
2016,23,Hurd,REPUBLICAN,903.9488461238051
2018,11,CORVALAN,LIBERTARIAN,0.07822685788787484
2018,11,HURD,REPUBLICAN,12.04307884570323
2018,11,ORTIZ JONES,DEMOCRAT,1.4622774710254207
2018,23,CORVALAN,LIBERTARIAN,16.921773142112123
2018,23,HURD,REPUBLICAN,800.9569211542968
2018,23,ORTIZ JONES,DEMOCRAT,175.53772252897457
2020,11,GONZALES,REPUBLICAN,15.250160222174749
2020,11,ORTIZ JONES,DEMOCRAT,1.706320383312479
2020,11,VILLELA,LIBERTARIAN,0.11920529801324503
2020,23,GONZALES,REPUBLICAN,1097.7498397778254
2020,23,ORTIZ JONES,DEMOCRAT,190.2936796166875
2020,23,VILLELA,LIBERTARIAN,30.880794701986755
2022,11,GONZALES,REPUBLICAN,13.598838209489294
2022,11,LIRA,DEMOCRAT,0.3452685421994885
2022,11,LOPEZ,OTHER,0.9523872329200738
2022,23,GONZALES,REPUBLICAN,839.4011617905107
2022,23,LIRA,DEMOCRAT,97.65473145780051
2022,23,LOPEZ,OTHER,84.04761276707993
2024,11,GONZALES,REPUBLICAN,16.42432878786141
2024,11,LIMON,DEMOCRAT,0.4987212276214834
2024,23,GONZALES,REPUBLICAN,1074.5756712121383
2024,23,LIMON,DEMOCRAT,117.50127877237851
