year,new_district_id,candidate,party,estimated_votes
2016,21,Corvalan,LIBERTARIAN,3.4798957381420488
2016,21,Gallego,DEMOCRAT,18.092866587247627
2016,21,Hurd,REPUBLICAN,137.72039461986478
2016,23,Corvalan,LIBERTARIAN,344.52010426185797
2016,23,Gallego,DEMOCRAT,3808.9071334127525
2016,23,Hurd,REPUBLICAN,4597.279605380135
2018,21,CORVALAN,LIBERTARIAN,2.9580586210813116
2018,21,HURD,REPUBLICAN,138.5878634733867
2018,21,ORTIZ JONES,DEMOCRAT,19.459583266301284
2018,23,CORVALAN,LIBERTARIAN,182.0419413789187
2018,23,HURD,REPUBLICAN,4249.412136526614
2018,23,ORTIZ JONES,DEMOCRAT,3307.5404167336987
2020,21,GONZALES,REPUBLICAN,167.24822627413073
2020,21,ORTIZ JONES,DEMOCRAT,20.55124790670986
2020,21,VILLELA,LIBERTARIAN,1.5907452668697162
2020,23,GONZALES,REPUBLICAN,5869.7517737258695
2020,23,ORTIZ JONES,DEMOCRAT,3889.4487520932903
2020,23,VILLELA,LIBERTARIAN,226.4092547331303
2022,21,GONZALES,REPUBLICAN,129.72357947210003
2022,21,LIRA,DEMOCRAT,13.09795271878687
2022,21,LOPEZ,OTHER,15.704830051516247
2022,23,GONZALES,REPUBLICAN,4590.2764205279
2022,23,LIRA,DEMOCRAT,2461.9020472812135
2022,23,LOPEZ,OTHER,625.2951699484837
2024,21,GONZALES,REPUBLICAN,165.47736094317747
2024,21,LIMON,DEMOCRAT,17.058019437321605
2024,23,GONZALES,REPUBLICAN,6584.522639056822
2024,23,LIMON,DEMOCRAT,2711.941980562678
