old_precinct_id,new_district_id,fragment_population,precinct_total,weight
4630001,23,5429,5429,1.0
4630002,23,1883,1883,1.0
4630003,21,141,773,0.18240620957309184
4630003,23,632,773,0.8175937904269082
4630004,21,166,1034,0.16054158607350097
4630004,23,868,1034,0.839458413926499
4630005,23,3866,3866,1.0
4630006,21,46,548,0.08394160583941605
4630006,23,502,548,0.916058394160584
4630007,23,1162,1162,1.0
4630008,23,4077,4077,1.0
4630009,23,3144,3144,1.0
4630010,23,1859,1859,1.0
4630011,23,883,883,1.0
4630012,23,4621,4621,1.0
4630013,23,6695,6695,1.0
4630014,21,62,462,0.1341991341991342
4630014,23,400,462,0.8658008658008658
