year,new_district_id,candidate,party,estimated_votes
2016,1,Ashby,LIBERTARIAN,15.433387007823722
2016,1,Hensarling,REPUBLICAN,128.61867656936386
2016,5,Ashby,LIBERTARIAN,1888.9822020208003
2016,5,Hensarling,REPUBLICAN,18170.12557039911
2016,32,Ashby,LIBERTARIAN,15.584410971375945
2016,32,Hensarling,REPUBLICAN,136.25575303153013
2018,1,GOODEN,REPUBLICAN,125.2037585796711
2018,1,WOOD,DEMOCRAT,21.00911105490958
2018,5,GOODEN,REPUBLICAN,14923.401732995007
2018,5,WOOD,DEMOCRAT,2435.65195143533
2018,32,GOODEN,REPUBLICAN,197.39450842532122
2018,32,WOOD,DEMOCRAT,33.338937509760335
2020,1,GOODEN,REPUBLICAN,190.880679885426
2020,1,HALE,LIBERTARIAN,2.564201746743003
2020,1,SALTER,DEMOCRAT,28.30626306959191
2020,5,GOODEN,REPUBLICAN,21568.5161220232
2020,5,HALE,LIBERTARIAN,331.7644672183232
2020,5,SALTER,DEMOCRAT,3157.682754932022
2020,32,GOODEN,REPUBLICAN,279.60319809137593
2020,32,HALE,LIBERTARIAN,5.671331034933842
2020,32,SALTER,DEMOCRAT,46.0109819983867
2022,1,GOODEN,REPUBLICAN,153.42322647619585
2022,1,HALE,LIBERTARIAN,1.814597140333796
2022,1,HILL,DEMOCRAT,20.860691971429414
2022,1,TORRES,OTHER,0.20376439270100477
2022,5,GOODEN,REPUBLICAN,17315.064727794008
2022,5,HALE,LIBERTARIAN,267.37934215785816
2022,5,HILL,DEMOCRAT,2190.6545477025784
2022,5,TORRES,OTHER,36.21995706921381
2022,32,GOODEN,REPUBLICAN,226.51204572979313
2022,32,HALE,LIBERTARIAN,4.806060701808058
2022,32,HILL,DEMOCRAT,32.484760325992404
2022,32,TORRES,OTHER,0.5762785380851845
2024,1,GOODEN,REPUBLICAN,211.2915349088272
2024,1,TORRES,DEMOCRAT,30.768100421255806
2024,5,GOODEN,REPUBLICAN,23914.45081962866
2024,5,TORRES,DEMOCRAT,3191.683527304501
2024,32,GOODEN,REPUBLICAN,310.2576454625133
2024,32,TORRES,DEMOCRAT,46.54837227424287
