old_precinct_id,new_district_id,fragment_population,precinct_total,weight
467001A,5,5069,5069,1.0
467001B,1,82,6390,0.012832550860719875
467001B,5,6308,6390,0.9871674491392801
467001B,32,0,6390,0.0
467001C,1,235,4594,0.05115367871136265
467001C,5,4359,4594,0.9488463212886373
467001D,5,3098,3204,0.966916354556804
467001D,32,106,3204,0.033083645443196
467001E,5,2102,2102,1.0
467002A,5,8045,8045,1.0
467002B,5,3342,3342,1.0
467002C,5,4778,4778,1.0
467002D,5,4755,4755,1.0
467003A,5,4164,4164,1.0
467003B,5,4106,4106,1.0
467003C,5,6948,7561,0.9189260679804259
467003C,32,613,7561,0.08107393201957414
467003D,5,6988,7434,0.9400053806833468
467003D,32,446,7434,0.05999461931665322
467004A,5,3857,3857,1.0
467004B,1,109,3728,0.029238197424892705
467004B,5,3619,3728,0.9707618025751072
467004C,5,4264,4264,1.0
467004D,1,273,6433,0.042437431991294884
467004D,5,6160,6433,0.9575625680087051
467004E,5,2688,2688,1.0
