year,new_district_id,candidate,party,estimated_votes
2016,15,Barrera,DEMOCRAT,73.66912810156676
2016,15,Farenthold,REPUBLICAN,454.0072977970934
2016,27,Barrera,DEMOCRAT,8921.330871898434
2016,27,Farenthold,REPUBLICAN,20996.992702202908
2018,15,CLOUD,REPUBLICAN,421.15485581291915
2018,15,DUERR,OTHER,2.9688955969801873
2018,15,HOLGUIN,DEMOCRAT,61.80502213550376
2018,15,TINUS,LIBERTARIAN,2.2296223734728318
2018,27,CLOUD,REPUBLICAN,18806.84514418708
2018,27,DUERR,OTHER,179.0311044030198
2018,27,HOLGUIN,DEMOCRAT,7424.194977864497
2018,27,TINUS,LIBERTARIAN,172.77037762652714
2020,15,CLOUD,REPUBLICAN,510.84272924419577
2020,15,DE LA FUENTE,DEMOCRAT,73.53312598559064
2020,15,GRAY,LIBERTARIAN,5.4114882975933485
2020,27,CLOUD,REPUBLICAN,23501.157270755804
2020,27,DE LA FUENTE,DEMOCRAT,9044.466874014408
2020,27,GRAY,LIBERTARIAN,479.5885117024066
2022,15,CLOUD,REPUBLICAN,427.28406782159794
2022,15,PEREZ,DEMOCRAT,55.21692572376754
2022,27,CLOUD,REPUBLICAN,18289.715932178406
2022,27,PEREZ,DEMOCRAT,6278.783074276233
2024,15,CLOUD,REPUBLICAN,527.8505400055457
2024,15,LLOYD,DEMOCRAT,86.93236788967775
2024,27,CLOUD,REPUBLICAN,24693.149459994456
2024,27,LLOYD,DEMOCRAT,9160.067632110322
