year,new_district_id,candidate,party,estimated_votes
2018,8,BRADY,REPUBLICAN,4128.802036235455
2018,8,DAVID,DEMOCRAT,2406.9109495712864
2018,8,DUNCAN,LIBERTARIAN,153.50994217452433
2018,10,BRADY,REPUBLICAN,7735.1979637645445
2018,10,DAVID,DEMOCRAT,3120.0890504287136
2018,10,DUNCAN,LIBERTARIAN,207.4900578254757
2020,8,BRADY,REPUBLICAN,5542.512192566809
2020,8,DUNCAN,LIBERTARIAN,193.46929519148648
2020,8,HERNANDEZ,DEMOCRAT,3159.951346487266
2020,10,BRADY,REPUBLICAN,10151.487807433192
2020,10,DUNCAN,LIBERTARIAN,292.5307048085136
2020,10,HERNANDEZ,DEMOCRAT,4197.048653512734
2022,8,ERIKSEN,LIBERTARIAN,26.10391031400384
2022,8,JONES,DEMOCRAT,507.5205023845457
2022,8,LUTTRELL,REPUBLICAN,2538.757524941412
2022,8,SESSIONS,REPUBLICAN,1940.1451086612528
2022,8,WOODS,DEMOCRAT,1394.4971041623796
2022,10,ERIKSEN,LIBERTARIAN,39.89608968599615
2022,10,JONES,DEMOCRAT,806.4794976154542
2022,10,LUTTRELL,REPUBLICAN,3095.242475058587
2022,10,SESSIONS,REPUBLICAN,4868.854891338747
2022,10,WOODS,DEMOCRAT,1939.5028958376204
2024,8,JONES,DEMOCRAT,680.3902914233322
2024,8,LORENZEN,DEMOCRAT,2086.181164120072
2024,8,LUTTRELL,REPUBLICAN,3466.321846611948
2024,8,SESSIONS,REPUBLICAN,2864.026534589334
2024,10,JONES,DEMOCRAT,1055.6097085766678
2024,10,LORENZEN,DEMOCRAT,2826.8188358799284
2024,10,LUTTRELL,REPUBLICAN,4359.678153388052
2024,10,SESSIONS,REPUBLICAN,6754.973465410667
