old_precinct_id,new_district_id,fragment_population,precinct_total,weight
4710101,8,2193,10079,0.21758110923702748
4710101,10,7886,10079,0.7824188907629726
4710102,8,7213,21480,0.33580074487895717
4710102,10,14267,21480,0.6641992551210428
4710103,8,478,5027,0.09508653272329422
4710103,10,4549,5027,0.9049134672767057
4710104,8,2082,8966,0.23221057327682357
4710104,10,6884,8966,0.7677894267231764
4710201,8,6543,20790,0.31471861471861473
4710201,10,14247,20790,0.6852813852813853
4710203,8,268,1925,0.13922077922077922
4710203,10,1657,1925,0.8607792207792208
4710204,8,581,7896,0.07358156028368794
4710204,10,7315,7896,0.9264184397163121
4710205,8,147,4267,0.03445043355987813
4710205,10,4120,4267,0.9655495664401219
4710206,8,4886,10523,0.46431625962178086
4710206,10,5637,10523,0.5356837403782191
4710301,8,14843,18631,0.7966829477752133
4710301,10,3788,18631,0.20331705222478666
4710302,8,4491,6912,0.6497395833333334
4710302,10,2421,6912,0.3502604166666667
4710303,8,1761,4463,0.39457763835984766
4710303,10,2702,4463,0.6054223616401524
4710304,8,1749,13638,0.1282446106467224
4710304,10,11889,13638,0.8717553893532776
4710401,8,13536,17348,0.7802628545077243
4710401,10,3812,17348,0.21973714549227577
4710403,8,4487,6267,0.7159725546513483
4710403,10,1780,6267,0.28402744534865165
4710404,8,5748,7262,0.7915174882952355
4710404,10,1514,7262,0.20848251170476453
