year,new_district_id,candidate,party,estimated_votes
2016,8,Cadien,DEMOCRAT,5151.727672724087
2016,8,Kelsey,LIBERTARIAN,364.329569761267
2016,8,McCaul,REPUBLICAN,9637.148338849403
2016,10,Cadien,DEMOCRAT,50.57271505103502
2016,10,Kelsey,LIBERTARIAN,9.771484616987701
2016,10,McCaul,REPUBLICAN,314.15984994813425
2016,22,Cadien,DEMOCRAT,205.96560137086684
2016,22,Kelsey,LIBERTARIAN,29.780495466985556
2016,22,McCaul,REPUBLICAN,736.7237260578445
2016,27,Cadien,DEMOCRAT,33.65878311378178
2016,27,Kelsey,LIBERTARIAN,2.4881239719798423
2016,27,McCaul,REPUBLICAN,68.79412099533735
2016,38,Cadien,DEMOCRAT,2.0752277402292094
2016,38,Kelsey,LIBERTARIAN,0.6303261827799002
2016,38,McCaul,REPUBLICAN,17.17396414928005
2018,8,MCCAUL,REPUBLICAN,9058.604252284109
2018,8,RYAN,LIBERTARIAN,216.09537777430123
2018,8,SIEGEL,DEMOCRAT,5674.417249350913
2018,10,MCCAUL,REPUBLICAN,290.00112856280293
2018,10,RYAN,LIBERTARIAN,5.294175849913044
2018,10,SIEGEL,DEMOCRAT,55.08229351627486
2018,22,MCCAUL,REPUBLICAN,789.1448472715805
2018,22,RYAN,LIBERTARIAN,17.330679241760237
2018,22,SIEGEL,DEMOCRAT,282.48831156271547
2018,27,MCCAUL,REPUBLICAN,65.99587825823218
2018,27,RYAN,LIBERTARIAN,1.920966076135388
2018,27,SIEGEL,DEMOCRAT,33.810852593312546
2018,38,MCCAUL,REPUBLICAN,15.253893623273584
2018,38,RYAN,LIBERTARIAN,0.358801057890097
2018,38,SIEGEL,DEMOCRAT,2.2012929767851896
2020,8,ERIKSEN,LIBERTARIAN,377.9357370694148
2020,8,MCCAUL,REPUBLICAN,12463.092092331935
2020,8,SIEGEL,DEMOCRAT,6969.687716212064
2020,10,ERIKSEN,LIBERTARIAN,7.461574170007715
2020,10,MCCAUL,REPUBLICAN,387.27608145581996
2020,10,SIEGEL,DEMOCRAT,76.43080810934202
2020,22,ERIKSEN,LIBERTARIAN,34.16964085686313
2020,22,MCCAUL,REPUBLICAN,1314.8125258964642
2020,22,SIEGEL,DEMOCRAT,503.7807299680987
2020,27,ERIKSEN,LIBERTARIAN,2.9190896316015698
2020,27,MCCAUL,REPUBLICAN,82.38821010126671
2020,27,SIEGEL,DEMOCRAT,45.11396933670648
2020,38,ERIKSEN,LIBERTARIAN,0.5139582721128416
2020,38,MCCAUL,REPUBLICAN,21.431090214516605
2020,38,SIEGEL,DEMOCRAT,2.9867763737878343
2022,8,KELSEY,LIBERTARIAN,292.4204825550836
2022,8,MCCAUL,REPUBLICAN,10006.490766986943
2022,8,NUNO,DEMOCRAT,4244.174332792744
2022,10,KELSEY,LIBERTARIAN,6.799768580712513
2022,10,MCCAUL,REPUBLICAN,304.9292885167715
2022,10,NUNO,DEMOCRAT,51.312492969368435
2022,22,KELSEY,LIBERTARIAN,32.71906689472292
2022,22,MCCAUL,REPUBLICAN,1101.5937656009182
2022,22,NUNO,DEMOCRAT,415.1220760882546
2022,27,KELSEY,LIBERTARIAN,1.6921835857020144
2022,27,MCCAUL,REPUBLICAN,58.16014304464739
2022,27,NUNO,DEMOCRAT,26.238291802292466
2022,38,KELSEY,LIBERTARIAN,0.36849838377901856
2022,38,MCCAUL,REPUBLICAN,15.826035850719954
2022,38,NUNO,DEMOCRAT,2.152806347340582
2024,8,BOISSEAU,DEMOCRAT,8319.591886377102
2024,8,MCCAUL,REPUBLICAN,14700.726005884939
2024,8,MILLER,LIBERTARIAN,519.1553036219943
2024,10,BOISSEAU,DEMOCRAT,76.42142954926858
2024,10,MCCAUL,REPUBLICAN,435.06045203587803
2024,10,MILLER,LIBERTARIAN,10.552449198892482
2024,22,BOISSEAU,DEMOCRAT,909.2840505458628
2024,22,MCCAUL,REPUBLICAN,1803.6620184975006
2024,22,MILLER,LIBERTARIAN,61.04723688311131
2024,27,BOISSEAU,DEMOCRAT,37.59948924331177
2024,27,MCCAUL,REPUBLICAN,77.11191147471752
2024,27,MILLER,LIBERTARIAN,2.6534734167777065
2024,38,BOISSEAU,DEMOCRAT,3.103144284454893
2024,38,MCCAUL,REPUBLICAN,22.439612106964443
2024,38,MILLER,LIBERTARIAN,0.5915368792242139
