old_precinct_id,new_district_id,fragment_population,precinct_total,weight
4730101,8,3447,3680,0.9366847826086957
4730101,10,128,3680,0.034782608695652174
4730101,27,105,3680,0.028532608695652172
4730102,8,4234,4234,1.0
4730103,8,3015,3015,1.0
4730103,27,0,3015,0.0
4730104,8,2694,2694,1.0
4730105,8,2131,2243,0.9500668747213553
4730105,10,112,2243,0.04993312527864467
4730206,8,6631,7752,0.8553921568627451
4730206,10,1121,7752,0.14460784313725492
4730207,8,6491,6806,0.95371730825742
4730207,10,249,6806,0.036585365853658534
4730207,38,66,6806,0.00969732588892154
4730208,8,8451,8451,1.0
4730309,8,6701,6701,1.0
4730310,8,4500,4500,1.0
4730311,8,2661,2684,0.9914307004470939
4730311,27,23,2684,0.00856929955290611
4730312,8,3297,3297,1.0
4730313,8,3395,4264,0.7962007504690432
4730313,22,869,4264,0.20379924953095685
4730414,8,1742,1877,0.9280767181672882
4730414,27,135,1877,0.07192328183271178
4730415,8,3659,3841,0.9526165061181984
4730415,27,182,3841,0.04738349388180162
4730416,8,4948,5242,0.9439145364364746
4730416,22,164,5242,0.03128576879053796
4730416,27,130,5242,0.02479969477298741
4730417,8,5839,6745,0.8656782802075611
4730417,22,906,6745,0.13432171979243884
4730418,8,7532,11271,0.6682636855647236
4730418,22,3739,11271,0.33173631443527635
4730419,8,2289,3956,0.5786147623862488
4730419,22,1667,3956,0.42138523761375124
4730420,8,5801,9140,0.6346827133479213
4730420,22,3339,9140,0.3653172866520788
