year,new_district_id,candidate,party,estimated_votes
2016,11,Corvalan,LIBERTARIAN,0.06360235168359167
2016,11,Gallego,DEMOCRAT,0.3909673971138429
2016,11,Hurd,REPUBLICAN,1.6761090326028862
2016,23,Corvalan,LIBERTARIAN,96.93639764831642
2016,23,Gallego,DEMOCRAT,866.6090326028861
2016,23,Hurd,REPUBLICAN,2440.3238909673973
2018,11,CORVALAN,LIBERTARIAN,0.02244788882950294
2018,11,HURD,REPUBLICAN,1.3730625334045965
2018,11,ORTIZ JONES,DEMOCRAT,0.3367183324425441
2018,23,CORVALAN,LIBERTARIAN,41.977552111170496
2018,23,HURD,REPUBLICAN,2034.6269374665953
2018,23,ORTIZ JONES,DEMOCRAT,828.6632816675574
2020,11,GONZALES,REPUBLICAN,1.8986249662981936
2020,11,ORTIZ JONES,DEMOCRAT,0.41898085737395524
2020,11,VILLELA,LIBERTARIAN,0.04718252898355352
2020,23,GONZALES,REPUBLICAN,3035.101375033702
2020,23,ORTIZ JONES,DEMOCRAT,836.581019142626
2020,23,VILLELA,LIBERTARIAN,88.95281747101644
2022,11,GONZALES,REPUBLICAN,1.3048366013071895
2022,11,LIRA,DEMOCRAT,0.20130718954248367
2022,11,LOPEZ,OTHER,0.08052287581699347
2022,23,GONZALES,REPUBLICAN,1994.6951633986928
2022,23,LIRA,DEMOCRAT,361.7986928104575
2022,23,LOPEZ,OTHER,137.919477124183
2024,11,GONZALES,REPUBLICAN,1.9197385620915033
2024,11,LIMON,DEMOCRAT,0.25620915032679736
2024,23,GONZALES,REPUBLICAN,3070.080261437908
2024,23,LIMON,DEMOCRAT,548.7437908496731
