year,new_district_id,candidate,party,estimated_votes
2016,8,Cadien,DEMOCRAT,0.0
2016,8,Kelsey,LIBERTARIAN,0.0
2016,8,McCaul,REPUBLICAN,0.0
2016,10,Cadien,DEMOCRAT,20.248611001125617
2016,10,Kelsey,LIBERTARIAN,3.777812547730245
2016,10,McCaul,REPUBLICAN,125.06529536197537
2016,27,Cadien,DEMOCRAT,2875.751388998874
2016,27,Kelsey,LIBERTARIAN,359.22218745226974
2016,27,McCaul,REPUBLICAN,11260.934704638024
2018,8,MCCAUL,REPUBLICAN,0.0
2018,8,RYAN,LIBERTARIAN,0.0
2018,8,SIEGEL,DEMOCRAT,0.0
2018,10,MCCAUL,REPUBLICAN,113.27243955996187
2018,10,RYAN,LIBERTARIAN,1.876598157546205
2018,10,SIEGEL,DEMOCRAT,21.457679719769956
2018,27,MCCAUL,REPUBLICAN,10148.727560440037
2018,27,RYAN,LIBERTARIAN,204.1234018424538
2018,27,SIEGEL,DEMOCRAT,2890.54232028023
2020,8,ERIKSEN,LIBERTARIAN,0.0
2020,8,MCCAUL,REPUBLICAN,0.0
2020,8,SIEGEL,DEMOCRAT,0.0
2020,10,ERIKSEN,LIBERTARIAN,2.215434608014776
2020,10,MCCAUL,REPUBLICAN,146.49658915460043
2020,10,SIEGEL,DEMOCRAT,29.57002631051897
2020,27,ERIKSEN,LIBERTARIAN,228.78456539198524
2020,27,MCCAUL,REPUBLICAN,13026.5034108454
2020,27,SIEGEL,DEMOCRAT,3797.4299736894804
2022,8,KELSEY,LIBERTARIAN,0.0
2022,8,MCCAUL,REPUBLICAN,0.0
2022,8,NUNO,DEMOCRAT,0.0
2022,10,KELSEY,LIBERTARIAN,2.434600460981623
2022,10,MCCAUL,REPUBLICAN,126.98677452159791
2022,10,NUNO,DEMOCRAT,19.066882686921904
2022,27,KELSEY,LIBERTARIAN,231.5653995390184
2022,27,MCCAUL,REPUBLICAN,11002.013225478402
2022,27,NUNO,DEMOCRAT,2449.9331173130777
2024,8,BOISSEAU,DEMOCRAT,0.0
2024,8,MCCAUL,REPUBLICAN,0.0
2024,8,MILLER,LIBERTARIAN,0.0
2024,10,BOISSEAU,DEMOCRAT,26.477757895287333
2024,10,MCCAUL,REPUBLICAN,154.80327606216667
2024,10,MILLER,LIBERTARIAN,3.1251586188887375
2024,27,BOISSEAU,DEMOCRAT,3439.522242104713
2024,27,MCCAUL,REPUBLICAN,13960.196723937834
2024,27,MILLER,LIBERTARIAN,331.87484138111125
