old_precinct_id,new_district_id,fragment_population,precinct_total,weight
4770101,8,0,2686,0.0
4770101,10,25,2686,0.009307520476545048
4770101,27,2661,2686,0.990692479523455
4770104,27,5998,5998,1.0
4770109,10,38,2322,0.01636520241171404
4770109,27,2284,2322,0.983634797588286
4770115,27,3297,3297,1.0
4770117,27,1258,1258,1.0
4770121,27,415,415,1.0
4770202,27,1060,1060,1.0
4770203,8,0,3160,0.0
4770203,27,3160,3160,1.0
4770205,27,4915,4915,1.0
4770208,27,4676,4676,1.0
4770307,27,4951,4951,1.0
4770311,10,132,2361,0.05590851334180432
4770311,27,2229,2361,0.9440914866581956
4770312,10,19,3230,0.0058823529411764705
4770312,27,3211,3230,0.9941176470588236
4770316,27,1291,1291,1.0
4770320,27,4449,4449,1.0
4770406,27,5504,5504,1.0
4770410,10,255,2426,0.10511129431162407
4770410,27,2171,2426,0.894888705688376
4770413,27,1747,1747,1.0
4770414,27,1748,1748,1.0
4770418,27,1490,1490,1.0
4770419,27,1571,1571,1.0
