old_precinct_id,new_district_id,fragment_population,precinct_total,weight
4790122,28,1998,1998,1.0
4790124,28,6623,6623,1.0
4790125,28,6079,6079,1.0
4790128,28,2866,2866,1.0
4790129,28,6570,6570,1.0
4790130,28,11800,11800,1.0
4790132,28,16170,16170,1.0
4790133,28,10904,10904,1.0
4790134,28,4534,4534,1.0
4790135,28,2565,2565,1.0
4790136,28,362,362,1.0
4790154,28,15746,15746,1.0
4790164,28,5135,5135,1.0
4790169,28,11681,11681,1.0
4790215,28,4451,4451,1.0
4790218,28,6490,6490,1.0
4790219,28,4612,4612,1.0
4790220,28,5585,5585,1.0
4790221,28,2297,2297,1.0
4790226,28,4219,4219,1.0
4790227,28,18640,18640,1.0
4790231,28,12587,12587,1.0
4790237,28,594,594,1.0
4790239,28,21637,21637,1.0
4790252,28,12118,12118,1.0
4790255,28,7634,7634,1.0
4790266,28,7696,7696,1.0
4790267,28,5591,5591,1.0
4790268,28,3314,3314,1.0
4790308,28,6205,6205,1.0
4790309,28,9735,9735,1.0
4790310,28,2269,2269,1.0
4790311,28,5022,5022,1.0
4790312,28,3540,3540,1.0
4790338,28,635,635,1.0
4790340,28,7105,7105,1.0
4790341,28,7001,7001,1.0
4790342,28,6380,6380,1.0
4790343,28,7568,7568,1.0
4790344,28,15776,15776,1.0
4790345,28,8464,8464,1.0
4790349,28,11497,11497,1.0
4790350,28,39,39,1.0
4790351,28,3488,3488,1.0
4790356,28,13382,13382,1.0
4790359,28,13356,13356,1.0
4790360,28,2831,2831,1.0
4790361,28,7410,7410,1.0
4790362,28,1567,1567,1.0
4790363,28,2822,2822,1.0
4790401,28,3607,3607,1.0
4790402,28,4286,4286,1.0
4790403,28,3834,3834,1.0
4790404,28,4730,4730,1.0
4790405,28,5444,5444,1.0
4790406,28,2796,2796,1.0
4790407,28,2612,2612,1.0
4790413,28,6358,6358,1.0
4790414,28,3770,3770,1.0
4790416,28,2961,2961,1.0
4790417,28,2150,2150,1.0
4790423,28,3732,3732,1.0
4790446,28,8314,8314,1.0
4790447,28,8582,8582,1.0
4790448,28,2352,2352,1.0
4790453,28,2202,2202,1.0
4790457,28,104,104,1.0
4790458,28,11496,11496,1.0
4790465,28,2811,2811,1.0
