year,new_district_id,candidate,party,estimated_votes
2016,22,Barrera,DEMOCRAT,114.9426354292215
2016,22,Farenthold,REPUBLICAN,351.3564954585787
2016,27,Barrera,DEMOCRAT,4066.0573645707786
2016,27,Farenthold,REPUBLICAN,9852.643504541422
2018,22,CLOUD,REPUBLICAN,324.1258405382317
2018,22,DUERR,OTHER,2.1514957493798987
2018,22,HOLGUIN,DEMOCRAT,92.28896151882927
2018,22,TINUS,LIBERTARIAN,3.592456460105333
2018,27,CLOUD,REPUBLICAN,8785.874159461768
2018,27,DUERR,OTHER,102.8485042506201
2018,27,HOLGUIN,DEMOCRAT,3439.711038481171
2018,27,TINUS,LIBERTARIAN,89.40754353989468
2020,22,CLOUD,REPUBLICAN,427.82920578062215
2020,22,DE LA FUENTE,DEMOCRAT,112.5226680374083
2020,22,GRAY,LIBERTARIAN,7.134532012796658
2020,27,CLOUD,REPUBLICAN,11561.170794219379
2020,27,DE LA FUENTE,DEMOCRAT,4240.477331962591
2020,27,GRAY,LIBERTARIAN,225.86546798720335
2022,22,JORDAN,DEMOCRAT,72.06806239011443
2022,22,LEBLANC,LIBERTARIAN,3.8456598846510026
2022,22,NEHLS,REPUBLICAN,341.91959131995424
2022,22,SQUIRES,OTHER,0.1087689841194185
2022,27,JORDAN,DEMOCRAT,2498.9319376098856
2022,27,LEBLANC,LIBERTARIAN,133.154340115349
2022,27,NEHLS,REPUBLICAN,9004.080408680045
2022,27,SQUIRES,OTHER,2.8912310158805816
2024,22,GREENE SCOTT,DEMOCRAT,98.78604619921376
2024,22,NEHLS,REPUBLICAN,448.6308509581824
2024,27,GREENE SCOTT,DEMOCRAT,3583.213953800786
2024,27,NEHLS,REPUBLICAN,11887.369149041817
