old_precinct_id,new_district_id,fragment_population,precinct_total,weight
4810101,22,153,2742,0.05579868708971553
4810101,27,2589,2742,0.9442013129102844
4810102,27,7131,7131,1.0
4810103,22,321,6060,0.05297029702970297
4810103,27,5739,6060,0.947029702970297
4810201,22,708,4394,0.16112881201638599
4810201,27,3686,4394,0.838871187983614
4810202,27,1455,1455,1.0
4810203,22,374,8211,0.045548654244306416
4810203,27,7837,8211,0.9544513457556936
4810301,27,5196,5196,1.0
4810302,27,5850,5850,1.0
4810303,27,4215,4215,1.0
4810401,27,6638,6638,1.0
4810402,27,5006,5006,1.0
4810403,27,1966,1966,1.0
