old_precinct_id,new_district_id,fragment_population,precinct_total,weight
4850101,13,2169,2169,1.0
4850102,13,2230,2230,1.0
4850103,13,10552,10552,1.0
4850104,13,5404,5404,1.0
4850105,13,11155,11155,1.0
4850106,13,2064,2064,1.0
4850107,13,538,538,1.0
4850108,13,10035,10035,1.0
4850109,13,8275,8275,1.0
4850110,13,2682,2682,1.0
4850111,13,2755,2755,1.0
4850112,13,360,360,1.0
4850113,13,2781,2781,1.0
4850114,13,2089,2089,1.0
4850115,13,266,266,1.0
4850116,13,193,193,1.0
4850117,13,141,141,1.0
4850201,13,8062,8062,1.0
4850202,13,4085,4085,1.0
4850203,13,4809,4809,1.0
4850204,13,2220,2220,1.0
4850205,13,7691,7691,1.0
4850206,13,6716,6716,1.0
4850207,13,2026,2026,1.0
4850208,13,4810,4810,1.0
4850209,13,141,141,1.0
4850210,13,445,445,1.0
4850211,13,1034,1034,1.0
4850301,13,1909,1909,1.0
4850302,13,6790,6790,1.0
4850303,13,4641,4641,1.0
4850304,13,854,854,1.0
4850305,13,2421,2421,1.0
4850306,13,2976,2976,1.0
4850307,13,6524,6524,1.0
4850308,13,3468,3468,1.0
4850309,13,10153,10153,1.0
4850310,13,3713,3713,1.0
4850311,13,5960,5960,1.0
4850312,13,914,914,1.0
4850313,13,500,500,1.0
4850314,13,832,832,1.0
4850315,13,576,576,1.0
4850316,13,932,932,1.0
4850317,13,474,474,1.0
4850318,13,1505,1505,1.0
4850319,13,521,521,1.0
4850401,13,5679,5679,1.0
4850402,13,4385,4385,1.0
4850403,13,7165,7165,1.0
4850404,13,5920,5920,1.0
4850405,13,5859,5859,1.0
4850406,13,6968,6968,1.0
4850407,13,5784,5784,1.0
4850408,13,937,937,1.0
4850409,13,283,283,1.0
4850410,13,751,751,1.0
4850411,13,2519,2519,1.0
4850412,13,1751,1751,1.0
4850413,13,1849,1849,1.0
4850414,13,1294,1294,1.0
