year,new_district_id,candidate,party,estimated_votes
2016,15,Gonzalez,REPUBLICAN,0.6883795759151168
2016,15,Vela,DEMOCRAT,2.0669556096394133
2016,34,Gonzalez,REPUBLICAN,1450.3116204240848
2016,34,Vela,DEMOCRAT,3409.9330443903605
2018,15,GONZALEZ,REPUBLICAN,0.5620870685319634
2018,15,VELA,DEMOCRAT,1.6410704098055962
2018,34,GONZALEZ,REPUBLICAN,1318.437912931468
2018,34,VELA,DEMOCRAT,2866.3589295901943
2020,15,CRISTO,LIBERTARIAN,0.06069458957486157
2020,15,GONZALEZ,REPUBLICAN,0.7939535336762571
2020,15,ROYAL,OTHER,0.02991957879085251
2020,15,VELA,DEMOCRAT,1.8708085654518118
2020,34,CRISTO,LIBERTARIAN,70.93930541042513
2020,34,GONZALEZ,REPUBLICAN,1774.2060464663236
2020,34,ROYAL,OTHER,65.97008042120915
2020,34,VELA,DEMOCRAT,3359.1291914345484
2022,15,FLORES,REPUBLICAN,0.6933039849383769
2022,15,GONZALEZ,DEMOCRAT,1.1056917520898932
2022,15,ROYAL,OTHER,0.036977739533897554
2022,34,FLORES,REPUBLICAN,1648.3066960150618
2022,34,GONZALEZ,DEMOCRAT,2022.89430824791
2022,34,ROYAL,OTHER,126.9630222604661
2024,15,FLORES,REPUBLICAN,1.228004760537681
2024,15,GONZALEZ,DEMOCRAT,1.6160110222852284
2024,34,FLORES,REPUBLICAN,2612.7719952394627
2024,34,GONZALEZ,DEMOCRAT,2827.3839889777146
