old_precinct_id,new_district_id,fragment_population,precinct_total,weight
4890001,34,1472,1472,1.0
4890002,34,2718,2718,1.0
4890003,34,1793,1793,1.0
4890004,15,0,2694,0.0
4890004,34,2694,2694,1.0
4890005,15,8,1291,0.006196746707978312
4890005,34,1283,1291,0.9938032532920217
4890006,34,754,754,1.0
4890007,15,3,2002,0.0014985014985014985
4890007,34,1999,2002,0.9985014985014985
4890008,34,907,907,1.0
4890009,34,2529,2529,1.0
4890010,34,351,351,1.0
4890011,34,2769,2769,1.0
4890012,34,234,234,1.0
489001A,34,3125,3125,1.0
489002A,34,3189,3189,1.0
489007A,34,2062,2062,1.0
489008A,34,1356,1356,1.0
489011A,34,4257,4257,1.0
